,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility
0,1483225200,0.4366485014,31888,59944,-20.6398910082,-13.2640326975,-14.5243324251,-19.618773842,-4.2556675749
1,1483311600,-0.1433514986,31877,60010,-14.4198910082,-11.1140326975,-10.9943324251,-14.608773842,0.2343324251
2,1483398000,0.1766485014,31863,60078,-13.6298910082,-3.8740326975,-10.5443324251,-12.768773842,0.6343324251
3,1483484400,-0.0933514986,31845,60149,-13.2298910082,-13.3640326975,-6.9043324251,-12.038773842,0.4243324251
4,1483570800,-0.2533514986,31824,60223,-18.8898910082,-23.8140326975,-19.6443324251,-17.968773842,0.6343324251
5,1483657200,0.2366485014,31800,60299,-25.8198910082,-17.5740326975,-23.6143324251,-26.008773842,0.6343324251
6,1483743600,0.2666485014,31772,60378,-20.2298910082,-10.3540326975,-16.9143324251,-18.558773842,-3.3456675749
7,1483830000,0.1666485014,31741,60459,-14.1298910082,-7.8540326975,-8.5343324251,-14.318773842,-0.3156675749
8,1483916400,0.3966485014,31707,60542,-14.6498910082,-7.9140326975,-7.2843324251,-14.268773842,-3.1056675749
9,1484002800,0.0966485014,31669,60628,-13.0398910082,-5.1540326975,-7.4043324251,-13.228773842,0.3743324251
10,1484089200,-0.0033514986,31629,60715,-8.2598910082,-4.7640326975,-4.2343324251,-8.448773842,0.3543324251
11,1484175600,0.0266485014,31585,60805,-12.4698910082,-14.7840326975,-11.0243324251,-12.658773842,0.3743324251
12,1484262000,0.0366485014,31539,60897,-16.2998910082,-11.5340326975,-14.2143324251,-15.758773842,-0.3756675749
13,1484348400,-0.1333514986,31489,60991,-17.6498910082,-15.8640326975,-12.4943324251,-16.578773842,0.5043324251
14,1484434800,-0.2733514986,31436,61086,-18.2398910082,-15.6940326975,-15.2943324251,-18.428773842,0.6343324251
15,1484521200,-0.0233514986,31380,61183,-21.2698910082,-22.6840326975,-20.2943324251,-21.458773842,0.3143324251
16,1484607600,0.2066485014,31322,61282,-26.2498910082,-24.2440326975,-22.1143324251,-26.438773842,-2.6356675749
17,1484694000,0.2366485014,31261,61382,-28.2398910082,-22.3040326975,-23.6743324251,-28.428773842,-4.1756675749
18,1484780400,0.0466485014,31197,61483,-18.5198910082,-21.7540326975,-21.8743324251,-18.708773842,-0.8756675749
19,1484866800,0.2066485014,31130,61586,-17.9698910082,-15.3940326975,-21.1843324251,-18.158773842,0.6343324251
20,1484953200,-0.0833514986,31061,61690,-17.2698910082,-24.7040326975,-17.2143324251,-17.458773842,0.4143324251
21,1485039600,0.1566485014,30989,61796,-18.5498910082,-18.9640326975,-24.1643324251,-18.738773842,-1.0256675749
22,1485126000,0.1266485014,30914,61902,-20.0898910082,-13.3940326975,-18.3943324251,-20.278773842,-4.3956675749
23,1485212400,0.1166485014,30837,62009,-21.6998910082,-16.6940326975,-13.9043324251,-21.438773842,-3.1056675749
24,1485298800,0.3266485014,30758,62118,-24.5998910082,-22.1340326975,-19.3543324251,-24.278773842,-2.8156675749
25,1485385200,0.0966485014,30676,62227,-24.6398910082,-21.8340326975,-21.6943324251,-24.828773842,0.2643324251
26,1485471600,0.2066485014,30592,62337,-17.6498910082,-9.8940326975,-21.2643324251,-17.838773842,0.6343324251
27,1485558000,0.1066485014,30506,62447,-9.5898910082,-8.2640326975,-9.3243324251,-9.778773842,0.6343324251
28,1485644400,0.0966485014,30417,62559,-14.7598910082,-8.6040326975,-8.1143324251,-14.948773842,0.4443324251
29,1485730800,0.3066485014,30326,62670,-13.8298910082,-9.4440326975,-9.0243324251,-14.018773842,-0.8056675749
30,1485817200,0.3866485014,30234,62783,-16.6898910082,-13.9240326975,-9.1443324251,-16.878773842,0.5743324251
31,1485903600,0.3266485014,30139,62895,-15.8598910082,-7.2940326975,-13.3543324251,-16.048773842,-0.8356675749
32,1485990000,0.0966485014,30042,63008,-3.9198910082,-0.9040326975,-5.0543324251,-4.108773842,-0.8856675749
33,1486076400,0.0466485014,29943,63122,-5.6598910082,-8.4040326975,-3.4443324251,-5.848773842,0.6343324251
34,1486162800,0.0766485014,29843,63235,-12.8498910082,-8.8940326975,-8.4743324251,-13.038773842,0.0943324251
