Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
1233356400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233270000.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233183600.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233097200.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233010800.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232924400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232838000.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232751600.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232665200.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232578800.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232492400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232406000.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232319600.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232233200.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232146800.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1232060400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1231974000.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1231887600.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1231801200.0,1.050,1.842,3,190,570,1,600,2134,1204758000.0,45.0
1231714800.0,1.050,1.842,3,190,570,1,600,2134,1204758000.0,45.0
1231628400.0,1.050,1.842,3,190,570,1,600,2134,1204758000.0,45.0
1231542000.0,1.050,1.842,3,190,570,1,600,2134,1204758000.0,45.0
1231455600.0,1.050,1.842,3,190,570,1,600,2134,1204758000.0,45.0
1231369200.0,1.050,1.842,3,190,570,1,600,2134,1204758000.0,45.0
1231282800.0,1.050,1.842,3,190,570,1,600,2134,1204758000.0,45.0
1231196400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1231110000.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1231023600.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1230937200.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1230850800.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1230764400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1235775600.0,0.820,1.439,3,190,570,1,600,2134,1204758000.0,45.0
1235689200.0,0.820,1.439,3,190,570,1,600,2134,1204758000.0,45.0
1235602800.0,0.820,1.439,3,190,570,1,600,2134,1204758000.0,45.0
1235516400.0,0.820,1.439,3,190,570,1,600,2134,1204758000.0,45.0
1235430000.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1235343600.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1235257200.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1235170800.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1235084400.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234998000.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234911600.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234825200.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234738800.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234652400.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234566000.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234479600.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234393200.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234306800.0,0.880,1.544,3,190,570,1,600,2134,1204758000.0,45.0
1234220400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1234134000.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1234047600.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233961200.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233874800.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233788400.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233702000.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233615600.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233529200.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1233442800.0,0.870,1.526,3,190,570,1,600,2134,1204758000.0,45.0
1238450400.0,1.770,3.105,3,190,570,1,600,2134,1204758000.0,45.0
1238364000.0,1.770,3.105,3,190,570,1,600,2134,1204758000.0,45.0
1238281200.0,1.770,3.105,3,190,570,1,600,2134,1204758000.0,45.0
1238194800.0,1.770,3.105,3,190,570,1,600,2134,1204758000.0,45.0
1238108400.0,1.770,3.105,3,190,570,1,600,2134,1204758000.0,45.0
1238022000.0,1.770,3.105,3,190,570,1,600,2134,1204758000.0,45.0
1237935600.0,1.770,3.105,3,190,570,1,600,2134,1204758000.0,45.0
1237849200.0,2.290,4.018,3,190,570,1,600,2134,1204758000.0,45.0
1237762800.0,2.290,4.018,3,190,570,1,600,2134,1204758000.0,45.0
1237676400.0,2.290,4.018,3,190,570,1,600,2134,1204758000.0,45.0
1237590000.0,2.290,4.018,3,190,570,1,600,2134,1204758000.0,45.0
1237503600.0,2.290,4.018,3,190,570,1,600,2134,1204758000.0,45.0
1237417200.0,2.290,4.018,3,190,570,1,600,2134,1204758000.0,45.0
1237330800.0,2.290,4.018,3,190,570,1,600,2134,1204758000.0,45.0
1237244400.0,1.410,2.474,3,190,570,1,600,2134,1204758000.0,45.0
1237158000.0,1.410,2.474,3,190,570,1,600,2134,1204758000.0,45.0
1237071600.0,1.410,2.474,3,190,570,1,600,2134,1204758000.0,45.0
1236985200.0,1.410,2.474,3,190,570,1,600,2134,1204758000.0,45.0
1236898800.0,1.410,2.474,3,190,570,1,600,2134,1204758000.0,45.0
1236812400.0,1.410,2.474,3,190,570,1,600,2134,1204758000.0,45.0
1236726000.0,1.410,2.474,3,190,570,1,600,2134,1204758000.0,45.0
1236639600.0,1.340,2.351,3,190,570,1,600,2134,1204758000.0,45.0
1236553200.0,1.340,2.351,3,190,570,1,600,2134,1204758000.0,45.0
1236466800.0,1.340,2.351,3,190,570,1,600,2134,1204758000.0,45.0
1236380400.0,1.340,2.351,3,190,570,1,600,2134,1204758000.0,45.0
1236294000.0,1.340,2.351,3,190,570,1,600,2134,1204758000.0,45.0
1236207600.0,1.340,2.351,3,190,570,1,600,2134,1204758000.0,45.0
1236121200.0,1.340,2.351,3,190,570,1,600,2134,1204758000.0,45.0
1236034800.0,0.820,1.439,3,190,570,1,600,2134,1204758000.0,45.0
1235948400.0,0.820,1.439,3,190,570,1,600,2134,1204758000.0,45.0
1235862000.0,0.820,1.439,3,190,570,1,600,2134,1204758000.0,45.0
1241042400.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240956000.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240869600.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240783200.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240696800.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240610400.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240524000.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240437600.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240351200.0,2.320,4.070,3,190,570,1,600,2134,1204758000.0,45.0
1240264800.0,1.560,2.737,3,190,570,1,600,2134,1204758000.0,45.0
1240178400.0,1.560,2.737,3,190,570,1,600,2134,1204758000.0,45.0
1240092000.0,1.560,2.737,3,190,570,1,600,2134,1204758000.0,45.0
1240005600.0,1.560,2.737,3,190,570,1,600,2134,1204758000.0,45.0
1239919200.0,1.560,2.737,3,190,570,1,600,2134,1204758000.0,45.0
1239832800.0,1.560,2.737,3,190,570,1,600,2134,1204758000.0,45.0
1239746400.0,1.560,2.737,3,190,570,1,600,2134,1204758000.0,45.0
1239660000.0,2.330,4.088,3,190,570,1,600,2134,1204758000.0,45.0
1239573600.0,2.330,4.088,3,190,570,1,600,2134,1204758000.0,45.0
1239487200.0,2.330,4.088,3,190,570,1,600,2134,1204758000.0,45.0
1239400800.0,2.330,4.088,3,190,570,1,600,2134,1204758000.0,45.0
1239314400.0,2.330,4.088,3,190,570,1,600,2134,1204758000.0,45.0
1239228000.0,2.330,4.088,3,190,570,1,600,2134,1204758000.0,45.0
1239141600.0,2.330,4.088,3,190,570,1,600,2134,1204758000.0,45.0
1239055200.0,2.450,4.298,3,190,570,1,600,2134,1204758000.0,45.0
1238968800.0,2.450,4.298,3,190,570,1,600,2134,1204758000.0,45.0
1238882400.0,2.450,4.298,3,190,570,1,600,2134,1204758000.0,45.0
1238796000.0,2.450,4.298,3,190,570,1,600,2134,1204758000.0,45.0
1238709600.0,2.450,4.298,3,190,570,1,600,2134,1204758000.0,45.0
1238623200.0,2.450,4.298,3,190,570,1,600,2134,1204758000.0,45.0
1238536800.0,2.450,4.298,3,190,570,1,600,2134,1204758000.0,45.0
1243720800.0,2.740,4.807,3,190,570,1,600,2134,1204758000.0,45.0
1243634400.0,2.740,4.807,3,190,570,1,600,2134,1204758000.0,45.0
1243548000.0,2.740,4.807,3,190,570,1,600,2134,1204758000.0,45.0
1243461600.0,2.740,4.807,3,190,570,1,600,2134,1204758000.0,45.0
1243375200.0,2.740,4.807,3,190,570,1,600,2134,1204758000.0,45.0
1243288800.0,2.170,3.807,3,190,570,1,600,2134,1204758000.0,45.0
1243202400.0,2.170,3.807,3,190,570,1,600,2134,1204758000.0,45.0
1243116000.0,2.170,3.807,3,190,570,1,600,2134,1204758000.0,45.0
1243029600.0,2.170,3.807,3,190,570,1,600,2134,1204758000.0,45.0
1242943200.0,2.170,3.807,3,190,570,1,600,2134,1204758000.0,45.0
1242856800.0,2.170,3.807,3,190,570,1,600,2134,1204758000.0,45.0
1242770400.0,2.170,3.807,3,190,570,1,600,2134,1204758000.0,45.0
1242684000.0,2.160,3.789,3,190,570,1,600,2134,1204758000.0,45.0
