,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude,month
0,1420066800.0,0.51,31797.0,59974.0,40.1,39.08,35.03,40.1,5.67,4.9632883,52.0881698,1.0
1,1420153200.0,0.47,31788.0,60037.0,48.32,40.28,40.37,48.32,5.93,4.9632883,52.0881698,1.0
2,1420239600.0,0.69,31776.0,60104.0,41.13,37.93,37.69,42.38,5.67,4.9632883,52.0881698,1.0
3,1420326000.0,0.44,31760.0,60173.0,44.8,34.37,34.86,44.8,6.22,4.9632883,52.0881698,1.0
4,1420412400.0,0.83,31742.0,60244.0,38.88,35.49,34.37,39.47,4.62,4.9632883,52.0881698,1.0
5,1420498800.0,0.85,31720.0,60319.0,37.61,36.53,33.38,42.51,4.94,4.9632883,52.0881698,1.0
6,1420585200.0,0.62,31694.0,60396.0,44.41,38.88,36.48,44.41,6.13,4.9632883,52.0881698,1.0
7,1420671600.0,0.78,31666.0,60475.0,46.45,42.76,38.88,46.45,5.34,4.9632883,52.0881698,1.0
8,1420758000.0,0.65,31634.0,60556.0,51.59,49.32,42.76,53.79,5.71,4.9632883,52.0881698,1.0
9,1420844400.0,0.67,31599.0,60640.0,53.47,41.21,42.19,53.79,5.92,4.9632883,52.0881698,1.0
10,1420930800.0,0.6,31561.0,60726.0,44.56,44.68,41.21,46.04,6.22,4.9632883,52.0881698,1.0
11,1421017200.0,0.75,31519.0,60814.0,48.66,48.34,45.09,48.66,5.67,4.9632883,52.0881698,1.0
12,1421103600.0,0.78,31475.0,60904.0,49.45,39.13,44.02,50.17,5.07,4.9632883,52.0881698,1.0
13,1421190000.0,0.5,31428.0,60996.0,41.87,38.68,38.68,42.32,6.11,4.9632883,52.0881698,1.0
14,1421276400.0,0.7,31377.0,61089.0,50.02,40.31,40.49,50.02,5.97,4.9632883,52.0881698,1.0
15,1421362800.0,0.42,31324.0,61185.0,45.92,34.16,39.77,45.92,6.13,4.9632883,52.0881698,1.0
16,1421449200.0,0.34,31268.0,61282.0,42.22,36.83,34.16,42.22,6.22,4.9632883,52.0881698,1.0
17,1421535600.0,0.81,31209.0,61380.0,37.86,33.39,36.14,37.86,4.82,4.9632883,52.0881698,1.0
18,1421622000.0,0.76,31147.0,61480.0,35.27,33.44,32.88,35.98,1.64,4.9632883,52.0881698,1.0
19,1421708400.0,0.79,31083.0,61581.0,37.68,30.59,33.09,37.68,2.71,4.9632883,52.0881698,1.0
20,1421794800.0,0.62,31016.0,61684.0,34.91,28.8,30.59,34.91,5.22,4.9632883,52.0881698,1.0
21,1421881200.0,0.84,30946.0,61787.0,32.45,25.35,28.8,32.66,4.11,4.9632883,52.0881698,1.0
22,1421967600.0,0.77,30874.0,61892.0,29.58,28.49,25.35,30.17,2.36,4.9632883,52.0881698,1.0
23,1422054000.0,0.56,30800.0,61998.0,43.12,35.64,30.04,43.12,4.4,4.9632883,52.0881698,1.0
24,1422140400.0,0.51,30722.0,62105.0,42.88,41.2,35.64,42.88,5.93,4.9632883,52.0881698,1.0
25,1422226800.0,0.82,30643.0,62212.0,46.27,39.43,41.2,46.27,4.98,4.9632883,52.0881698,1.0
26,1422313200.0,0.52,30561.0,62321.0,45.38,39.75,38.41,45.38,6.17,4.9632883,52.0881698,1.0
27,1422399600.0,0.78,30477.0,62430.0,43.92,38.03,39.26,43.92,5.33,4.9632883,52.0881698,1.0
28,1422486000.0,0.57,30391.0,62540.0,39.86,32.81,33.71,39.86,5.92,4.9632883,52.0881698,1.0
29,1422572400.0,0.59,30302.0,62650.0,38.93,34.25,32.81,38.93,5.24,4.9632883,52.0881698,1.0
30,1422658800.0,0.44,30212.0,62761.0,39.95,33.18,33.85,39.95,6.16,4.9632883,52.0881698,1.0
31,1422745200.0,0.58,30119.0,62873.0,41.14,34.79,33.18,41.14,5.96,4.9632883,52.0881698,2.0
32,1422831600.0,0.49,30024.0,62984.0,40.04,32.6,34.57,40.04,6.17,4.9632883,52.0881698,2.0
33,1422918000.0,0.47,29928.0,63096.0,42.29,30.34,32.45,42.29,6.16,4.9632883,52.0881698,2.0
34,1423004400.0,0.51,29829.0,63209.0,40.67,28.87,29.92,40.67,6.2,4.9632883,52.0881698,2.0
35,1423090800.0,0.52,29729.0,63321.0,34.89,30.03,28.87,34.89,5.84,4.9632883,52.0881698,2.0
36,1423177200.0,0.64,29626.0,63434.0,36.82,27.57,29.84,36.82,6.17,4.9632883,52.0881698,2.0
37,1423263600.0,0.73,29522.0,63547.0,41.27,40.41,27.57,41.48,5.02,4.9632883,52.0881698,2.0
38,1423350000.0,0.66,29417.0,63660.0,44.48,39.5,39.5,44.48,5.93,4.9632883,52.0881698,2.0
39,1423436400.0,0.76,29309.0,63773.0,44.52,41.15,39.98,44.52,6.08,4.9632883,52.0881698,2.0
40,1423522800.0,0.91,29200.0,63886.0,44.75,40.4,41.15,44.75,6.2,4.9632883,52.0881698,2.0
41,1423609200.0,1.0,29090.0,63999.0,41.16,36.83,39.14,41.91,4.77,4.9632883,52.0881698,2.0
42,1423695600.0,1.0,28977.0,64112.0,41.2,33.77,36.69,41.2,3.2,4.9632883,52.0881698,2.0
43,1423782000.0,0.56,28864.0,64225.0,50.92,42.03,33.77,50.92,4.31,4.9632883,52.0881698,2.0
44,1423868400.0,0.7,28749.0,64338.0,49.02,36.85,41.95,49.02,6.22,4.9632883,52.0881698,2.0
45,1423954800.0,0.5,28632.0,64450.0,43.02,27.83,32.83,43.02,4.17,4.9632883,52.0881698,2.0
46,1424041200.0,0.68,28514.0,64563.0,46.15,36.01,27.83,46.15,1.5,4.9632883,52.0881698,2.0
47,1424127600.0,0.76,28395.0,64675.0,47.21,31.56,34.12,47.21,3.81,4.9632883,52.0881698,2.0
48,1424214000.0,0.69,28275.0,64787.0,46.38,32.62,31.56,46.38,4.75,4.9632883,52.0881698,2.0
49,1424300400.0,0.57,28153.0,64899.0,45.86,38.97,32.62,45.86,4.09,4.9632883,52.0881698,2.0
50,1424386800.0,0.87,28031.0,65010.0,43.66,37.66,38.97,43.66,3.87,4.9632883,52.0881698,2.0
51,1424473200.0,0.63,27907.0,65121.0,41.37,32.96,35.52,41.37,6.04,4.9632883,52.0881698,2.0
52,1424559600.0,0.32,27782.0,65232.0,44.17,37.8,32.96,44.17,5.87,4.9632883,52.0881698,2.0
53,1424646000.0,0.56,27656.0,65342.0,48.63,38.75,37.8,48.63,5.66,4.9632883,52.0881698,2.0
54,1424732400.0,0.57,27529.0,65453.0,47.26,35.24,38.75,47.26,6.13,4.9632883,52.0881698,2.0
55,1424818800.0,0.58,27400.0,65562.0,44.37,40.15,35.24,44.37,5.64,4.9632883,52.0881698,2.0
56,1424905200.0,0.9,27271.0,65672.0,47.2,39.55,40.15,47.2,2.29,4.9632883,52.0881698,2.0
57,1424991600.0,0.42,27142.0,65781.0,46.15,33.68,35.53,46.15,6.2,4.9632883,52.0881698,2.0
58,1425078000.0,0.78,27011.0,65890.0,48.76,43.58,33.68,48.76,6.22,4.9632883,52.0881698,2.0
59,1425164400.0,0.5,26879.0,65999.0,50.45,39.74,43.58,50.45,5.73,4.9632883,52.0881698,3.0
60,1425250800.0,0.41,26747.0,66107.0,46.23,38.79,39.74,46.23,6.22,4.9632883,52.0881698,3.0
61,1425337200.0,0.51,26614.0,66215.0,44.73,38.66,38.79,44.73,6.22,4.9632883,52.0881698,3.0
