,Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
0,1420066800.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
1,1420153200.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
2,1420239600.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
3,1420326000.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
4,1420412400.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
5,1420498800.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
6,1420585200.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
7,1420671600.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
8,1420758000.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
9,1420844400.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
10,1420930800.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
11,1421017200.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
12,1421103600.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
13,1421190000.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
14,1421276400.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
15,1421362800.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
16,1421449200.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
17,1421535600.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
18,1421622000.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
19,1421708400.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
20,1421794800.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
21,1421881200.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
22,1421967600.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
23,1422054000.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
24,1422140400.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
25,1422226800.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
26,1422313200.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
27,1422399600.0,0.000,0.000,5,125,625,1,500,5384,1154210400.0,35.0
