Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
1517353200.0,0.160,0.133,8,150,1200,2,600,2201,1240610400.0,35.0
1517266800.0,2.100,1.750,8,150,1200,2,600,2201,1240610400.0,35.0
1517180400.0,0.650,0.542,8,150,1200,2,600,2201,1240610400.0,35.0
1517094000.0,1.130,0.942,8,150,1200,2,600,2201,1240610400.0,35.0
1517007600.0,1.300,1.083,8,150,1200,2,600,2201,1240610400.0,35.0
1516921200.0,1.680,1.400,8,150,1200,2,600,2201,1240610400.0,35.0
1516834800.0,0.820,0.683,8,150,1200,2,600,2201,1240610400.0,35.0
1516748400.0,0.200,0.167,8,150,1200,2,600,2201,1240610400.0,35.0
1516662000.0,0.430,0.358,8,150,1200,2,600,2201,1240610400.0,35.0
1516575600.0,0.530,0.442,8,150,1200,2,600,2201,1240610400.0,35.0
1516489200.0,1.530,1.275,8,150,1200,2,600,2201,1240610400.0,35.0
1516402800.0,0.220,0.183,8,150,1200,2,600,2201,1240610400.0,35.0
1516316400.0,1.700,1.417,8,150,1200,2,600,2201,1240610400.0,35.0
1516230000.0,0.440,0.367,8,150,1200,2,600,2201,1240610400.0,35.0
1516143600.0,0.730,0.608,8,150,1200,2,600,2201,1240610400.0,35.0
1516057200.0,1.180,0.983,8,150,1200,2,600,2201,1240610400.0,35.0
1515970800.0,0.000,0.000,8,150,1200,2,600,2201,1240610400.0,35.0
1515884400.0,0.810,0.675,8,150,1200,2,600,2201,1240610400.0,35.0
1515798000.0,0.120,0.100,8,150,1200,2,600,2201,1240610400.0,35.0
1515711600.0,0.060,0.050,8,150,1200,2,600,2201,1240610400.0,35.0
1515625200.0,0.160,0.133,8,150,1200,2,600,2201,1240610400.0,35.0
1515538800.0,0.070,0.058,8,150,1200,2,600,2201,1240610400.0,35.0
1515452400.0,0.660,0.550,8,150,1200,2,600,2201,1240610400.0,35.0
1515366000.0,1.830,1.525,8,150,1200,2,600,2201,1240610400.0,35.0
1515279600.0,2.160,1.800,8,150,1200,2,600,2201,1240610400.0,35.0
1515193200.0,0.320,0.267,8,150,1200,2,600,2201,1240610400.0,35.0
1515106800.0,0.100,0.083,8,150,1200,2,600,2201,1240610400.0,35.0
1515020400.0,0.200,0.167,8,150,1200,2,600,2201,1240610400.0,35.0
1514934000.0,0.200,0.167,8,150,1200,2,600,2201,1240610400.0,35.0
1514847600.0,0.340,0.283,8,150,1200,2,600,2201,1240610400.0,35.0
1514761200.0,0.570,0.475,8,150,1200,2,600,2201,1240610400.0,35.0
1519772400.0,3.300,2.750,8,150,1200,2,600,2201,1240610400.0,35.0
1519686000.0,4.300,3.583,8,150,1200,2,600,2201,1240610400.0,35.0
1519599600.0,4.650,3.875,8,150,1200,2,600,2201,1240610400.0,35.0
1519513200.0,5.190,4.325,8,150,1200,2,600,2201,1240610400.0,35.0
1519426800.0,4.320,3.600,8,150,1200,2,600,2201,1240610400.0,35.0
1519340400.0,4.160,3.467,8,150,1200,2,600,2201,1240610400.0,35.0
1519254000.0,4.560,3.800,8,150,1200,2,600,2201,1240610400.0,35.0
1519167600.0,3.880,3.233,8,150,1200,2,600,2201,1240610400.0,35.0
1519081200.0,1.180,0.983,8,150,1200,2,600,2201,1240610400.0,35.0
1518994800.0,0.410,0.342,8,150,1200,2,600,2201,1240610400.0,35.0
1518908400.0,3.950,3.292,8,150,1200,2,600,2201,1240610400.0,35.0
1518822000.0,2.970,2.475,8,150,1200,2,600,2201,1240610400.0,35.0
1518735600.0,4.230,3.525,8,150,1200,2,600,2201,1240610400.0,35.0
1518649200.0,1.780,1.483,8,150,1200,2,600,2201,1240610400.0,35.0
1518562800.0,3.800,3.167,8,150,1200,2,600,2201,1240610400.0,35.0
1518476400.0,4.140,3.450,8,150,1200,2,600,2201,1240610400.0,35.0
1518390000.0,3.340,2.783,8,150,1200,2,600,2201,1240610400.0,35.0
1518303600.0,2.230,1.858,8,150,1200,2,600,2201,1240610400.0,35.0
1518217200.0,3.300,2.750,8,150,1200,2,600,2201,1240610400.0,35.0
1518130800.0,0.650,0.542,8,150,1200,2,600,2201,1240610400.0,35.0
1518044400.0,2.990,2.492,8,150,1200,2,600,2201,1240610400.0,35.0
1517958000.0,3.420,2.850,8,150,1200,2,600,2201,1240610400.0,35.0
1517871600.0,3.740,3.117,8,150,1200,2,600,2201,1240610400.0,35.0
1517785200.0,1.700,1.417,8,150,1200,2,600,2201,1240610400.0,35.0
1517698800.0,2.140,1.783,8,150,1200,2,600,2201,1240610400.0,35.0
1517612400.0,0.570,0.475,8,150,1200,2,600,2201,1240610400.0,35.0
1517526000.0,1.630,1.358,8,150,1200,2,600,2201,1240610400.0,35.0
1517439600.0,1.580,1.317,8,150,1200,2,600,2201,1240610400.0,35.0
1522447200.0,2.160,1.800,8,150,1200,2,600,2201,1240610400.0,35.0
1522360800.0,3.380,2.817,8,150,1200,2,600,2201,1240610400.0,35.0
1522274400.0,5.690,4.742,8,150,1200,2,600,2201,1240610400.0,35.0
1522188000.0,0.570,0.475,8,150,1200,2,600,2201,1240610400.0,35.0
1522101600.0,1.440,1.200,8,150,1200,2,600,2201,1240610400.0,35.0
1522015200.0,4.870,4.058,8,150,1200,2,600,2201,1240610400.0,35.0
1521932400.0,3.430,2.858,8,150,1200,2,600,2201,1240610400.0,35.0
1521846000.0,1.560,1.300,8,150,1200,2,600,2201,1240610400.0,35.0
1521759600.0,1.210,1.008,8,150,1200,2,600,2201,1240610400.0,35.0
1521673200.0,2.140,1.783,8,150,1200,2,600,2201,1240610400.0,35.0
1521586800.0,4.260,3.550,8,150,1200,2,600,2201,1240610400.0,35.0
1521500400.0,6.120,5.100,8,150,1200,2,600,2201,1240610400.0,35.0
1521414000.0,6.180,5.150,8,150,1200,2,600,2201,1240610400.0,35.0
1521327600.0,5.040,4.200,8,150,1200,2,600,2201,1240610400.0,35.0
1521241200.0,3.170,2.642,8,150,1200,2,600,2201,1240610400.0,35.0
1521154800.0,0.240,0.200,8,150,1200,2,600,2201,1240610400.0,35.0
1521068400.0,2.190,1.825,8,150,1200,2,600,2201,1240610400.0,35.0
1520982000.0,4.380,3.650,8,150,1200,2,600,2201,1240610400.0,35.0
1520895600.0,1.050,0.875,8,150,1200,2,600,2201,1240610400.0,35.0
1520809200.0,2.020,1.683,8,150,1200,2,600,2201,1240610400.0,35.0
1520722800.0,1.360,1.133,8,150,1200,2,600,2201,1240610400.0,35.0
1520636400.0,1.490,1.242,8,150,1200,2,600,2201,1240610400.0,35.0
1520550000.0,3.620,3.017,8,150,1200,2,600,2201,1240610400.0,35.0
1520463600.0,2.040,1.700,8,150,1200,2,600,2201,1240610400.0,35.0
1520377200.0,1.910,1.592,8,150,1200,2,600,2201,1240610400.0,35.0
1520290800.0,2.350,1.958,8,150,1200,2,600,2201,1240610400.0,35.0
1520204400.0,4.240,3.533,8,150,1200,2,600,2201,1240610400.0,35.0
1520118000.0,3.150,2.625,8,150,1200,2,600,2201,1240610400.0,35.0
1520031600.0,1.800,1.500,8,150,1200,2,600,2201,1240610400.0,35.0
1519945200.0,3.500,2.917,8,150,1200,2,600,2201,1240610400.0,35.0
1519858800.0,2.350,1.958,8,150,1200,2,600,2201,1240610400.0,35.0
1525039200.0,0.560,0.467,8,150,1200,2,600,2201,1240610400.0,35.0
1524952800.0,1.200,1.000,8,150,1200,2,600,2201,1240610400.0,35.0
1524866400.0,2.180,1.817,8,150,1200,2,600,2201,1240610400.0,35.0
1524780000.0,2.860,2.383,8,150,1200,2,600,2201,1240610400.0,35.0
1524693600.0,6.960,5.800,8,150,1200,2,600,2201,1240610400.0,35.0
1524607200.0,5.210,4.342,8,150,1200,2,600,2201,1240610400.0,35.0
1524520800.0,4.250,3.542,8,150,1200,2,600,2201,1240610400.0,35.0
1524434400.0,5.130,4.275,8,150,1200,2,600,2201,1240610400.0,35.0
1524348000.0,5.460,4.550,8,150,1200,2,600,2201,1240610400.0,35.0
1524261600.0,6.390,5.325,8,150,1200,2,600,2201,1240610400.0,35.0
1524175200.0,6.380,5.317,8,150,1200,2,600,2201,1240610400.0,35.0
1524088800.0,6.350,5.292,8,150,1200,2,600,2201,1240610400.0,35.0
1524002400.0,6.280,5.233,8,150,1200,2,600,2201,1240610400.0,35.0
1523916000.0,5.680,4.733,8,150,1200,2,600,2201,1240610400.0,35.0
1523829600.0,6.780,5.650,8,150,1200,2,600,2201,1240610400.0,35.0
1523743200.0,2.360,1.967,8,150,1200,2,600,2201,1240610400.0,35.0
1523656800.0,3.480,2.900,8,150,1200,2,600,2201,1240610400.0,35.0
1523570400.0,2.670,2.225,8,150,1200,2,600,2201,1240610400.0,35.0
1523484000.0,1.330,1.108,8,150,1200,2,600,2201,1240610400.0,35.0
1523397600.0,2.890,2.408,8,150,1200,2,600,2201,1240610400.0,35.0
1523311200.0,3.600,3.000,8,150,1200,2,600,2201,1240610400.0,35.0
1523224800.0,2.800,2.333,8,150,1200,2,600,2201,1240610400.0,35.0
1523138400.0,4.050,3.375,8,150,1200,2,600,2201,1240610400.0,35.0
1523052000.0,5.680,4.733,8,150,1200,2,600,2201,1240610400.0,35.0
1522965600.0,6.260,5.217,8,150,1200,2,600,2201,1240610400.0,35.0
1522879200.0,4.770,3.975,8,150,1200,2,600,2201,1240610400.0,35.0
1522792800.0,2.300,1.917,8,150,1200,2,600,2201,1240610400.0,35.0
1522706400.0,2.660,2.217,8,150,1200,2,600,2201,1240610400.0,35.0
1522620000.0,1.890,1.575,8,150,1200,2,600,2201,1240610400.0,35.0
1522533600.0,1.320,1.100,8,150,1200,2,600,2201,1240610400.0,35.0
1527717600.0,4.180,3.483,8,150,1200,2,600,2201,1240610400.0,35.0
1527631200.0,5.840,4.867,8,150,1200,2,600,2201,1240610400.0,35.0
1527544800.0,5.480,4.567,8,150,1200,2,600,2201,1240610400.0,35.0
1527458400.0,6.420,5.350,8,150,1200,2,600,2201,1240610400.0,35.0
1527372000.0,4.160,3.467,8,150,1200,2,600,2201,1240610400.0,35.0
1527285600.0,6.420,5.350,8,150,1200,2,600,2201,1240610400.0,35.0
1527199200.0,6.050,5.042,8,150,1200,2,600,2201,1240610400.0,35.0
1527112800.0,1.980,1.650,8,150,1200,2,600,2201,1240610400.0,35.0
1527026400.0,3.600,3.000,8,150,1200,2,600,2201,1240610400.0,35.0
1526940000.0,3.660,3.050,8,150,1200,2,600,2201,1240610400.0,35.0
1526853600.0,5.580,4.650,8,150,1200,2,600,2201,1240610400.0,35.0
1526767200.0,6.950,5.792,8,150,1200,2,600,2201,1240610400.0,35.0
1526680800.0,1.510,1.258,8,150,1200,2,600,2201,1240610400.0,35.0
1526594400.0,3.210,2.675,8,150,1200,2,600,2201,1240610400.0,35.0
1526508000.0,5.930,4.942,8,150,1200,2,600,2201,1240610400.0,35.0
1526421600.0,4.580,3.817,8,150,1200,2,600,2201,1240610400.0,35.0
1526335200.0,6.820,5.683,8,150,1200,2,600,2201,1240610400.0,35.0
1526248800.0,6.240,5.200,8,150,1200,2,600,2201,1240610400.0,35.0
1526162400.0,2.310,1.925,8,150,1200,2,600,2201,1240610400.0,35.0
1526076000.0,5.620,4.683,8,150,1200,2,600,2201,1240610400.0,35.0
1525989600.0,6.420,5.350,8,150,1200,2,600,2201,1240610400.0,35.0
1525903200.0,4.640,3.867,8,150,1200,2,600,2201,1240610400.0,35.0
1525816800.0,6.560,5.467,8,150,1200,2,600,2201,1240610400.0,35.0
1525730400.0,6.720,5.600,8,150,1200,2,600,2201,1240610400.0,35.0
1525644000.0,6.900,5.750,8,150,1200,2,600,2201,1240610400.0,35.0
1525557600.0,6.940,5.783,8,150,1200,2,600,2201,1240610400.0,35.0
1525471200.0,6.950,5.792,8,150,1200,2,600,2201,1240610400.0,35.0
