,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude,month
0,1483225200.0,0.92,31792.0,60006.0,34.47,33.83,31.72,35.59,1.41,4.9632883,52.0881698,1.0
1,1483311600.0,0.45,31782.0,60071.0,42.47,36.13,35.67,42.47,5.63,4.9632883,52.0881698,1.0
2,1483398000.0,0.79,31768.0,60139.0,43.26,43.46,36.13,44.34,6.22,4.9632883,52.0881698,1.0
3,1483484400.0,0.52,31751.0,60209.0,44.22,34.26,39.81,45.08,6.1,4.9632883,52.0881698,1.0
4,1483570800.0,0.3,31730.0,60282.0,38.58,23.61,27.26,39.01,6.22,4.9632883,52.0881698,1.0
5,1483657200.0,0.76,31707.0,60358.0,31.95,29.69,23.17,31.95,6.22,4.9632883,52.0881698,1.0
6,1483743600.0,0.83,31680.0,60436.0,35.47,36.15,29.69,37.27,2.22,4.9632883,52.0881698,1.0
7,1483830000.0,0.75,31649.0,60516.0,43.55,39.93,37.49,43.55,5.2,4.9632883,52.0881698,1.0
8,1483916400.0,0.88,31616.0,60599.0,42.64,39.91,39.93,43.05,2.25,4.9632883,52.0881698,1.0
9,1484002800.0,0.69,31579.0,60684.0,44.28,42.51,39.78,44.28,5.88,4.9632883,52.0881698,1.0
10,1484089200.0,0.57,31539.0,60771.0,49.48,42.98,42.84,49.48,5.87,4.9632883,52.0881698,1.0
11,1484175600.0,0.59,31497.0,60860.0,45.19,33.29,36.12,45.19,6.01,4.9632883,52.0881698,1.0
12,1484262000.0,0.63,31451.0,60951.0,40.46,36.29,33.29,41.62,5.24,4.9632883,52.0881698,1.0
13,1484348400.0,0.51,31402.0,61044.0,39.47,32.29,34.77,40.73,6.14,4.9632883,52.0881698,1.0
14,1484434800.0,0.43,31350.0,61138.0,38.85,32.83,32.29,38.85,6.19,4.9632883,52.0881698,1.0
15,1484521200.0,0.61,31295.0,61234.0,34.73,24.63,27.23,35.27,5.87,4.9632883,52.0881698,1.0
16,1484607600.0,0.79,31238.0,61332.0,31.01,23.98,24.63,31.01,2.92,4.9632883,52.0881698,1.0
17,1484694000.0,0.78,31177.0,61431.0,28.6,25.47,23.98,28.81,1.47,4.9632883,52.0881698,1.0
18,1484780400.0,0.59,31114.0,61532.0,37.76,25.69,25.28,37.76,4.46,4.9632883,52.0881698,1.0
19,1484866800.0,0.74,31049.0,61634.0,39.56,30.95,25.69,39.56,6.0,4.9632883,52.0881698,1.0
20,1484953200.0,0.44,30980.0,61737.0,39.8,23.03,29.14,39.8,5.74,4.9632883,52.0881698,1.0
21,1485039600.0,0.72,30909.0,61841.0,38.72,30.58,22.97,38.72,3.98,4.9632883,52.0881698,1.0
22,1485126000.0,0.74,30836.0,61946.0,37.48,34.79,30.58,37.48,1.27,4.9632883,52.0881698,1.0
23,1485212400.0,0.71,30760.0,62053.0,36.47,31.53,33.82,36.47,2.51,4.9632883,52.0881698,1.0
24,1485298800.0,0.88,30682.0,62160.0,32.93,24.53,27.48,33.74,3.16,4.9632883,52.0881698,1.0
25,1485385200.0,0.63,30601.0,62268.0,32.52,25.43,24.53,32.52,5.63,4.9632883,52.0881698,1.0
26,1485471600.0,0.74,30518.0,62377.0,40.65,38.05,25.43,40.65,6.11,4.9632883,52.0881698,1.0
27,1485558000.0,0.7,30433.0,62486.0,48.87,39.61,38.05,48.87,6.22,4.9632883,52.0881698,1.0
28,1485644400.0,0.63,30345.0,62596.0,43.2,39.47,39.03,43.2,6.08,4.9632883,52.0881698,1.0
29,1485730800.0,0.9,30256.0,62707.0,44.34,38.15,38.15,44.34,4.91,4.9632883,52.0881698,1.0
30,1485817200.0,0.95,30164.0,62818.0,41.45,33.78,38.17,41.45,6.16,4.9632883,52.0881698,1.0
31,1485903600.0,0.88,30070.0,62930.0,42.18,41.19,33.78,42.61,4.65,4.9632883,52.0881698,2.0
32,1485990000.0,0.66,29974.0,63042.0,54.24,48.02,43.1,54.24,4.98,4.9632883,52.0881698,2.0
33,1486076400.0,0.64,29877.0,63154.0,52.21,39.42,44.15,52.21,6.22,4.9632883,52.0881698,2.0
34,1486162800.0,0.69,29777.0,63267.0,44.63,39.33,39.05,44.63,5.88,4.9632883,52.0881698,2.0
35,1486249200.0,0.78,29676.0,63379.0,44.53,37.79,37.84,44.53,2.92,4.9632883,52.0881698,2.0
36,1486335600.0,0.88,29573.0,63492.0,44.34,37.74,37.79,44.34,5.02,4.9632883,52.0881698,2.0
37,1486422000.0,0.86,29468.0,63605.0,38.39,33.37,34.89,40.54,2.86,4.9632883,52.0881698,2.0
38,1486508400.0,0.96,29361.0,63718.0,33.49,29.88,31.61,34.65,2.39,4.9632883,52.0881698,2.0
39,1486594800.0,0.93,29253.0,63831.0,31.16,25.9,29.43,31.35,3.55,4.9632883,52.0881698,2.0
