,Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
0,1388530800.0,6.394,1.827,10,175,3500,1,4000,5552,1250719200.0,45.0
1,1388617200.0,2.460,0.703,10,175,3500,1,4000,5552,1250719200.0,45.0
2,1388703600.0,2.638,0.754,10,175,3500,1,4000,5552,1250719200.0,45.0
3,1388790000.0,1.311,0.375,10,175,3500,1,4000,5552,1250719200.0,45.0
4,1388876400.0,8.324,2.378,10,175,3500,1,4000,5552,1250719200.0,45.0
5,1388962800.0,2.117,0.605,10,175,3500,1,4000,5552,1250719200.0,45.0
6,1389049200.0,6.622,1.892,10,175,3500,1,4000,5552,1250719200.0,45.0
7,1389135600.0,6.084,1.738,10,175,3500,1,4000,5552,1250719200.0,45.0
8,1389222000.0,0.540,0.154,10,175,3500,1,4000,5552,1250719200.0,45.0
9,1389308400.0,10.237,2.925,10,175,3500,1,4000,5552,1250719200.0,45.0
10,1389394800.0,2.367,0.676,10,175,3500,1,4000,5552,1250719200.0,45.0
11,1389481200.0,10.792,3.083,10,175,3500,1,4000,5552,1250719200.0,45.0
12,1389567600.0,6.875,1.964,10,175,3500,1,4000,5552,1250719200.0,45.0
13,1389654000.0,1.183,0.338,10,175,3500,1,4000,5552,1250719200.0,45.0
14,1389740400.0,0.431,0.123,10,175,3500,1,4000,5552,1250719200.0,45.0
15,1389826800.0,0.742,0.212,10,175,3500,1,4000,5552,1250719200.0,45.0
16,1389913200.0,1.600,0.457,10,175,3500,1,4000,5552,1250719200.0,45.0
17,1389999600.0,7.703,2.201,10,175,3500,1,4000,5552,1250719200.0,45.0
18,1390086000.0,3.032,0.866,10,175,3500,1,4000,5552,1250719200.0,45.0
19,1390172400.0,0.294,0.084,10,175,3500,1,4000,5552,1250719200.0,45.0
20,1390258800.0,0.584,0.167,10,175,3500,1,4000,5552,1250719200.0,45.0
21,1390345200.0,6.919,1.977,10,175,3500,1,4000,5552,1250719200.0,45.0
22,1390431600.0,0.574,0.164,10,175,3500,1,4000,5552,1250719200.0,45.0
23,1390518000.0,4.744,1.355,10,175,3500,1,4000,5552,1250719200.0,45.0
24,1390604400.0,2.532,0.723,10,175,3500,1,4000,5552,1250719200.0,45.0
25,1390690800.0,3.520,1.006,10,175,3500,1,4000,5552,1250719200.0,45.0
