Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
20160101,5.108,1.091,24,195,4680,1,4200,1103,02/08/12,53.0
20160102,0.689,0.147,24,195,4680,1,4200,1103,02/08/12,53.0
20160103,1.989,0.425,24,195,4680,1,4200,1103,02/08/12,53.0
20160104,0.443,0.095,24,195,4680,1,4200,1103,02/08/12,53.0
20160105,0.632,0.135,24,195,4680,1,4200,1103,02/08/12,53.0
20160106,0.961,0.205,24,195,4680,1,4200,1103,02/08/12,53.0
20160107,0.367,0.078,24,195,4680,1,4200,1103,02/08/12,53.0
20160108,6.215,1.328,24,195,4680,1,4200,1103,02/08/12,53.0
20160109,0.931,0.199,24,195,4680,1,4200,1103,02/08/12,53.0
20160110,3.400,0.726,24,195,4680,1,4200,1103,02/08/12,53.0
20160111,0.550,0.118,24,195,4680,1,4200,1103,02/08/12,53.0
20160112,3.060,0.654,24,195,4680,1,4200,1103,02/08/12,53.0
20160113,1.516,0.324,24,195,4680,1,4200,1103,02/08/12,53.0
20160114,2.420,0.517,24,195,4680,1,4200,1103,02/08/12,53.0
20160115,2.134,0.456,24,195,4680,1,4200,1103,02/08/12,53.0
20160116,6.422,1.372,24,195,4680,1,4200,1103,02/08/12,53.0
20160117,10.189,2.177,24,195,4680,1,4200,1103,02/08/12,53.0
20160118,8.228,1.758,24,195,4680,1,4200,1103,02/08/12,53.0
20160119,3.610,0.771,24,195,4680,1,4200,1103,02/08/12,53.0
20160120,4.183,0.894,24,195,4680,1,4200,1103,02/08/12,53.0
20160121,1.202,0.257,24,195,4680,1,4200,1103,02/08/12,53.0
20160122,3.011,0.643,24,195,4680,1,4200,1103,02/08/12,53.0
20160123,4.563,0.975,24,195,4680,1,4200,1103,02/08/12,53.0
20160124,0.451,0.096,24,195,4680,1,4200,1103,02/08/12,53.0
20160125,9.870,2.109,24,195,4680,1,4200,1103,02/08/12,53.0
20160126,5.353,1.144,24,195,4680,1,4200,1103,02/08/12,53.0
20160127,0.346,0.074,24,195,4680,1,4200,1103,02/08/12,53.0
20160128,10.162,2.171,24,195,4680,1,4200,1103,02/08/12,53.0
20160129,0.652,0.139,24,195,4680,1,4200,1103,02/08/12,53.0
20160130,1.289,0.275,24,195,4680,1,4200,1103,02/08/12,53.0
20160131,2.005,0.428,24,195,4680,1,4200,1103,02/08/12,53.0
20160201,2.688,0.574,24,195,4680,1,4200,1103,02/08/12,53.0
20160202,4.828,1.032,24,195,4680,1,4200,1103,02/08/12,53.0
20160203,6.170,1.318,24,195,4680,1,4200,1103,02/08/12,53.0
20160204,1.328,0.284,24,195,4680,1,4200,1103,02/08/12,53.0
20160205,1.499,0.320,24,195,4680,1,4200,1103,02/08/12,53.0
20160206,1.899,0.406,24,195,4680,1,4200,1103,02/08/12,53.0
20160207,5.173,1.105,24,195,4680,1,4200,1103,02/08/12,53.0
20160208,3.473,0.742,24,195,4680,1,4200,1103,02/08/12,53.0
20160209,1.104,0.236,24,195,4680,1,4200,1103,02/08/12,53.0
20160210,3.908,0.835,24,195,4680,1,4200,1103,02/08/12,53.0
20160211,9.778,2.089,24,195,4680,1,4200,1103,02/08/12,53.0
20160212,6.609,1.412,24,195,4680,1,4200,1103,02/08/12,53.0
20160213,5.701,1.218,24,195,4680,1,4200,1103,02/08/12,53.0
20160214,1.262,0.270,24,195,4680,1,4200,1103,02/08/12,53.0
20160215,9.936,2.123,24,195,4680,1,4200,1103,02/08/12,53.0
20160216,14.608,3.121,24,195,4680,1,4200,1103,02/08/12,53.0
20160217,14.629,3.126,24,195,4680,1,4200,1103,02/08/12,53.0
20160218,3.146,0.672,24,195,4680,1,4200,1103,02/08/12,53.0
20160219,14.077,3.008,24,195,4680,1,4200,1103,02/08/12,53.0
20160220,2.431,0.519,24,195,4680,1,4200,1103,02/08/12,53.0
20160221,1.669,0.357,24,195,4680,1,4200,1103,02/08/12,53.0
20160222,2.647,0.566,24,195,4680,1,4200,1103,02/08/12,53.0
20160223,10.008,2.138,24,195,4680,1,4200,1103,02/08/12,53.0
20160224,10.920,2.333,24,195,4680,1,4200,1103,02/08/12,53.0
20160225,13.872,2.964,24,195,4680,1,4200,1103,02/08/12,53.0
20160226,4.463,0.954,24,195,4680,1,4200,1103,02/08/12,53.0
20160227,15.849,3.387,24,195,4680,1,4200,1103,02/08/12,53.0
20160228,18.070,3.861,24,195,4680,1,4200,1103,02/08/12,53.0
20160229,17.711,3.784,24,195,4680,1,4200,1103,02/08/12,53.0
20160301,2.443,0.522,24,195,4680,1,4200,1103,02/08/12,53.0
20160302,8.228,1.758,24,195,4680,1,4200,1103,02/08/12,53.0
20160303,12.754,2.725,24,195,4680,1,4200,1103,02/08/12,53.0
20160304,1.477,0.316,24,195,4680,1,4200,1103,02/08/12,53.0
20160305,11.951,2.554,24,195,4680,1,4200,1103,02/08/12,53.0
20160306,7.512,1.605,24,195,4680,1,4200,1103,02/08/12,53.0
20160307,14.349,3.066,24,195,4680,1,4200,1103,02/08/12,53.0
20160308,7.363,1.573,24,195,4680,1,4200,1103,02/08/12,53.0
20160309,15.235,3.255,24,195,4680,1,4200,1103,02/08/12,53.0
20160310,14.770,3.156,24,195,4680,1,4200,1103,02/08/12,53.0
20160311,8.775,1.875,24,195,4680,1,4200,1103,02/08/12,53.0
20160312,19.694,4.208,24,195,4680,1,4200,1103,02/08/12,53.0
20160313,21.362,4.565,24,195,4680,1,4200,1103,02/08/12,53.0
20160314,20.551,4.391,24,195,4680,1,4200,1103,02/08/12,53.0
20160315,4.826,1.031,24,195,4680,1,4200,1103,02/08/12,53.0
20160316,20.907,4.467,24,195,4680,1,4200,1103,02/08/12,53.0
20160317,21.535,4.601,24,195,4680,1,4200,1103,02/08/12,53.0
20160318,3.026,0.647,24,195,4680,1,4200,1103,02/08/12,53.0
20160319,5.421,1.158,24,195,4680,1,4200,1103,02/08/12,53.0
20160320,6.164,1.317,24,195,4680,1,4200,1103,02/08/12,53.0
20160321,4.746,1.014,24,195,4680,1,4200,1103,02/08/12,53.0
20160322,7.430,1.588,24,195,4680,1,4200,1103,02/08/12,53.0
20160323,6.003,1.283,24,195,4680,1,4200,1103,02/08/12,53.0
20160324,5.324,1.138,24,195,4680,1,4200,1103,02/08/12,53.0
20160325,8.999,1.923,24,195,4680,1,4200,1103,02/08/12,53.0
20160326,18.729,4.002,24,195,4680,1,4200,1103,02/08/12,53.0
20160327,10.988,2.348,24,195,4680,1,4200,1103,02/08/12,53.0
20160328,19.492,4.165,24,195,4680,1,4200,1103,02/08/12,53.0
20160329,16.748,3.579,24,195,4680,1,4200,1103,02/08/12,53.0
20160330,15.992,3.417,24,195,4680,1,4200,1103,02/08/12,53.0
20160331,16.145,3.450,24,195,4680,1,4200,1103,02/08/12,53.0
20160401,19.744,4.219,24,195,4680,1,4200,1103,02/08/12,53.0
20160402,10.272,2.195,24,195,4680,1,4200,1103,02/08/12,53.0
20160403,21.010,4.489,24,195,4680,1,4200,1103,02/08/12,53.0
20160404,15.168,3.241,24,195,4680,1,4200,1103,02/08/12,53.0
20160405,9.106,1.946,24,195,4680,1,4200,1103,02/08/12,53.0
20160406,5.754,1.229,24,195,4680,1,4200,1103,02/08/12,53.0
20160407,13.216,2.824,24,195,4680,1,4200,1103,02/08/12,53.0
20160408,13.252,2.832,24,195,4680,1,4200,1103,02/08/12,53.0
20160409,17.338,3.705,24,195,4680,1,4200,1103,02/08/12,53.0
20160410,26.137,5.585,24,195,4680,1,4200,1103,02/08/12,53.0
20160411,24.540,5.244,24,195,4680,1,4200,1103,02/08/12,53.0
20160412,18.938,4.047,24,195,4680,1,4200,1103,02/08/12,53.0
20160413,14.585,3.116,24,195,4680,1,4200,1103,02/08/12,53.0
20160414,18.444,3.941,24,195,4680,1,4200,1103,02/08/12,53.0
20160415,8.832,1.887,24,195,4680,1,4200,1103,02/08/12,53.0
20160416,13.882,2.966,24,195,4680,1,4200,1103,02/08/12,53.0
20160417,17.308,3.698,24,195,4680,1,4200,1103,02/08/12,53.0
20160418,15.134,3.234,24,195,4680,1,4200,1103,02/08/12,53.0
20160419,24.120,5.154,24,195,4680,1,4200,1103,02/08/12,53.0
20160420,28.870,6.169,24,195,4680,1,4200,1103,02/08/12,53.0
20160421,27.487,5.873,24,195,4680,1,4200,1103,02/08/12,53.0
20160422,18.304,3.911,24,195,4680,1,4200,1103,02/08/12,53.0
20160423,19.345,4.134,24,195,4680,1,4200,1103,02/08/12,53.0
20160424,19.663,4.201,24,195,4680,1,4200,1103,02/08/12,53.0
20160425,9.235,1.973,24,195,4680,1,4200,1103,02/08/12,53.0
20160426,8.743,1.868,24,195,4680,1,4200,1103,02/08/12,53.0
20160427,16.040,3.427,24,195,4680,1,4200,1103,02/08/12,53.0
20160428,19.699,4.209,24,195,4680,1,4200,1103,02/08/12,53.0
20160429,16.930,3.618,24,195,4680,1,4200,1103,02/08/12,53.0
20160430,15.171,3.242,24,195,4680,1,4200,1103,02/08/12,53.0
20160501,30.251,6.464,24,195,4680,1,4200,1103,02/08/12,53.0
20160502,18.460,3.944,24,195,4680,1,4200,1103,02/08/12,53.0
20160503,26.230,5.605,24,195,4680,1,4200,1103,02/08/12,53.0
20160504,23.948,5.117,24,195,4680,1,4200,1103,02/08/12,53.0
20160505,29.155,6.230,24,195,4680,1,4200,1103,02/08/12,53.0
20160506,26.567,5.677,24,195,4680,1,4200,1103,02/08/12,53.0
20160507,27.364,5.847,24,195,4680,1,4200,1103,02/08/12,53.0
20160508,28.213,6.028,24,195,4680,1,4200,1103,02/08/12,53.0
20160509,25.308,5.408,24,195,4680,1,4200,1103,02/08/12,53.0
20160510,12.615,2.696,24,195,4680,1,4200,1103,02/08/12,53.0
20160511,23.278,4.974,24,195,4680,1,4200,1103,02/08/12,53.0
20160512,26.829,5.733,24,195,4680,1,4200,1103,02/08/12,53.0
20160513,28.743,6.142,24,195,4680,1,4200,1103,02/08/12,53.0
20160514,19.179,4.098,24,195,4680,1,4200,1103,02/08/12,53.0
20160515,19.693,4.208,24,195,4680,1,4200,1103,02/08/12,53.0
20160516,16.075,3.435,24,195,4680,1,4200,1103,02/08/12,53.0
20160517,24.702,5.278,24,195,4680,1,4200,1103,02/08/12,53.0
20160518,12.823,2.740,24,195,4680,1,4200,1103,02/08/12,53.0
20160519,17.388,3.715,24,195,4680,1,4200,1103,02/08/12,53.0
20160520,11.112,2.374,24,195,4680,1,4200,1103,02/08/12,53.0
20160521,17.605,3.762,24,195,4680,1,4200,1103,02/08/12,53.0
20160522,6.957,1.487,24,195,4680,1,4200,1103,02/08/12,53.0
20160523,8.980,1.919,24,195,4680,1,4200,1103,02/08/12,53.0
20160524,15.573,3.328,24,195,4680,1,4200,1103,02/08/12,53.0
20160525,9.565,2.044,24,195,4680,1,4200,1103,02/08/12,53.0
20160526,22.681,4.846,24,195,4680,1,4200,1103,02/08/12,53.0
20160527,27.193,5.810,24,195,4680,1,4200,1103,02/08/12,53.0
20160528,28.654,6.123,24,195,4680,1,4200,1103,02/08/12,53.0
20160529,8.971,1.917,24,195,4680,1,4200,1103,02/08/12,53.0
20160530,11.051,2.361,24,195,4680,1,4200,1103,02/08/12,53.0
20160531,17.995,3.845,24,195,4680,1,4200,1103,02/08/12,53.0
20160601,24.018,5.132,24,195,4680,1,4200,1103,02/08/12,53.0
20160602,3.982,0.851,24,195,4680,1,4200,1103,02/08/12,53.0
20160603,13.248,2.831,24,195,4680,1,4200,1103,02/08/12,53.0
20160604,26.267,5.613,24,195,4680,1,4200,1103,02/08/12,53.0
20160605,30.004,6.411,24,195,4680,1,4200,1103,02/08/12,53.0
20160606,30.259,6.466,24,195,4680,1,4200,1103,02/08/12,53.0
20160607,26.721,5.710,24,195,4680,1,4200,1103,02/08/12,53.0
20160608,24.091,5.148,24,195,4680,1,4200,1103,02/08/12,53.0
20160609,30.265,6.467,24,195,4680,1,4200,1103,02/08/12,53.0
20160610,23.368,4.993,24,195,4680,1,4200,1103,02/08/12,53.0
20160611,16.802,3.590,24,195,4680,1,4200,1103,02/08/12,53.0
20160612,14.218,3.038,24,195,4680,1,4200,1103,02/08/12,53.0
20160613,10.303,2.201,24,195,4680,1,4200,1103,02/08/12,53.0
20160614,12.983,2.774,24,195,4680,1,4200,1103,02/08/12,53.0
20160615,14.478,3.094,24,195,4680,1,4200,1103,02/08/12,53.0
20160616,13.098,2.799,24,195,4680,1,4200,1103,02/08/12,53.0
20160617,22.512,4.810,24,195,4680,1,4200,1103,02/08/12,53.0
20160618,12.287,2.625,24,195,4680,1,4200,1103,02/08/12,53.0
20160619,20.454,4.371,24,195,4680,1,4200,1103,02/08/12,53.0
20160620,3.865,0.826,24,195,4680,1,4200,1103,02/08/12,53.0
20160621,9.461,2.022,24,195,4680,1,4200,1103,02/08/12,53.0
20160622,23.324,4.984,24,195,4680,1,4200,1103,02/08/12,53.0
20160623,16.518,3.529,24,195,4680,1,4200,1103,02/08/12,53.0
20160624,22.063,4.714,24,195,4680,1,4200,1103,02/08/12,53.0
20160625,14.898,3.183,24,195,4680,1,4200,1103,02/08/12,53.0
20160626,22.376,4.781,24,195,4680,1,4200,1103,02/08/12,53.0
20160627,17.261,3.688,24,195,4680,1,4200,1103,02/08/12,53.0
20160628,14.736,3.149,24,195,4680,1,4200,1103,02/08/12,53.0
20160629,17.767,3.796,24,195,4680,1,4200,1103,02/08/12,53.0
20160630,9.482,2.026,24,195,4680,1,4200,1103,02/08/12,53.0
20160701,4.979,1.064,24,195,4680,1,4200,1103,02/08/12,53.0
20160702,24.950,5.331,24,195,4680,1,4200,1103,02/08/12,53.0
20160703,27.482,5.872,24,195,4680,1,4200,1103,02/08/12,53.0
20160704,23.424,5.005,24,195,4680,1,4200,1103,02/08/12,53.0
20160705,11.218,2.397,24,195,4680,1,4200,1103,02/08/12,53.0
20160706,25.570,5.464,24,195,4680,1,4200,1103,02/08/12,53.0
20160707,22.518,4.812,24,195,4680,1,4200,1103,02/08/12,53.0
20160708,11.903,2.543,24,195,4680,1,4200,1103,02/08/12,53.0
20160709,14.823,3.167,24,195,4680,1,4200,1103,02/08/12,53.0
20160710,21.408,4.574,24,195,4680,1,4200,1103,02/08/12,53.0
20160711,20.958,4.478,24,195,4680,1,4200,1103,02/08/12,53.0
20160712,16.312,3.485,24,195,4680,1,4200,1103,02/08/12,53.0
20160713,18.256,3.901,24,195,4680,1,4200,1103,02/08/12,53.0
20160714,20.165,4.309,24,195,4680,1,4200,1103,02/08/12,53.0
20160715,26.361,5.633,24,195,4680,1,4200,1103,02/08/12,53.0
20160716,9.835,2.101,24,195,4680,1,4200,1103,02/08/12,53.0
20160717,27.537,5.884,24,195,4680,1,4200,1103,02/08/12,53.0
20160718,28.952,6.186,24,195,4680,1,4200,1103,02/08/12,53.0
20160719,27.453,5.866,24,195,4680,1,4200,1103,02/08/12,53.0
20160720,18.931,4.045,24,195,4680,1,4200,1103,02/08/12,53.0
20160721,26.824,5.732,24,195,4680,1,4200,1103,02/08/12,53.0
20160722,15.098,3.226,24,195,4680,1,4200,1103,02/08/12,53.0
20160723,23.336,4.986,24,195,4680,1,4200,1103,02/08/12,53.0
20160724,22.024,4.706,24,195,4680,1,4200,1103,02/08/12,53.0
20160725,15.394,3.289,24,195,4680,1,4200,1103,02/08/12,53.0
20160726,14.124,3.018,24,195,4680,1,4200,1103,02/08/12,53.0
20160727,7.932,1.695,24,195,4680,1,4200,1103,02/08/12,53.0
20160728,15.187,3.245,24,195,4680,1,4200,1103,02/08/12,53.0
20160729,12.003,2.565,24,195,4680,1,4200,1103,02/08/12,53.0
20160730,10.856,2.320,24,195,4680,1,4200,1103,02/08/12,53.0
20160731,22.300,4.765,24,195,4680,1,4200,1103,02/08/12,53.0
20160801,26.108,5.579,24,195,4680,1,4200,1103,02/08/12,53.0
20160802,6.775,1.448,24,195,4680,1,4200,1103,02/08/12,53.0
20160803,11.779,2.517,24,195,4680,1,4200,1103,02/08/12,53.0
20160804,19.119,4.085,24,195,4680,1,4200,1103,02/08/12,53.0
20160805,18.274,3.905,24,195,4680,1,4200,1103,02/08/12,53.0
20160806,28.214,6.029,24,195,4680,1,4200,1103,02/08/12,53.0
20160807,11.129,2.378,24,195,4680,1,4200,1103,02/08/12,53.0
20160808,17.393,3.716,24,195,4680,1,4200,1103,02/08/12,53.0
20160809,19.892,4.250,24,195,4680,1,4200,1103,02/08/12,53.0
20160810,17.928,3.831,24,195,4680,1,4200,1103,02/08/12,53.0
20160811,5.886,1.258,24,195,4680,1,4200,1103,02/08/12,53.0
20160812,16.179,3.457,24,195,4680,1,4200,1103,02/08/12,53.0
20160813,9.891,2.113,24,195,4680,1,4200,1103,02/08/12,53.0
20160814,10.917,2.333,24,195,4680,1,4200,1103,02/08/12,53.0
20160815,27.520,5.880,24,195,4680,1,4200,1103,02/08/12,53.0
20160816,26.760,5.718,24,195,4680,1,4200,1103,02/08/12,53.0
20160817,27.369,5.848,24,195,4680,1,4200,1103,02/08/12,53.0
20160818,27.254,5.824,24,195,4680,1,4200,1103,02/08/12,53.0
20160819,10.717,2.290,24,195,4680,1,4200,1103,02/08/12,53.0
20160820,19.781,4.227,24,195,4680,1,4200,1103,02/08/12,53.0
20160821,12.729,2.720,24,195,4680,1,4200,1103,02/08/12,53.0
20160822,14.750,3.152,24,195,4680,1,4200,1103,02/08/12,53.0
20160823,24.805,5.300,24,195,4680,1,4200,1103,02/08/12,53.0
20160824,24.001,5.128,24,195,4680,1,4200,1103,02/08/12,53.0
20160825,23.897,5.106,24,195,4680,1,4200,1103,02/08/12,53.0
20160826,18.574,3.969,24,195,4680,1,4200,1103,02/08/12,53.0
20160827,22.833,4.879,24,195,4680,1,4200,1103,02/08/12,53.0
20160828,14.501,3.099,24,195,4680,1,4200,1103,02/08/12,53.0
20160829,18.789,4.015,24,195,4680,1,4200,1103,02/08/12,53.0
20160830,18.380,3.927,24,195,4680,1,4200,1103,02/08/12,53.0
20160831,20.725,4.428,24,195,4680,1,4200,1103,02/08/12,53.0
20160901,20.903,4.466,24,195,4680,1,4200,1103,02/08/12,53.0
20160902,12.328,2.634,24,195,4680,1,4200,1103,02/08/12,53.0
20160903,12.191,2.605,24,195,4680,1,4200,1103,02/08/12,53.0
20160904,10.341,2.210,24,195,4680,1,4200,1103,02/08/12,53.0
20160905,22.633,4.836,24,195,4680,1,4200,1103,02/08/12,53.0
20160906,8.761,1.872,24,195,4680,1,4200,1103,02/08/12,53.0
20160907,22.247,4.754,24,195,4680,1,4200,1103,02/08/12,53.0
20160908,20.901,4.466,24,195,4680,1,4200,1103,02/08/12,53.0
20160909,14.503,3.099,24,195,4680,1,4200,1103,02/08/12,53.0
20160910,17.651,3.772,24,195,4680,1,4200,1103,02/08/12,53.0
20160911,12.136,2.593,24,195,4680,1,4200,1103,02/08/12,53.0
20160912,20.902,4.466,24,195,4680,1,4200,1103,02/08/12,53.0
20160913,18.791,4.015,24,195,4680,1,4200,1103,02/08/12,53.0
