,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude
0,1483225200.0,0.86,31576.0,59713.0,33.45,32.58,31.32,34.89,1.03,6.0221493,52.2132321
1,1483311600.0,0.71,31566.0,59779.0,41.78,32.81,32.85,41.78,3.96,6.0221493,52.2132321
2,1483398000.0,0.85,31552.0,59847.0,41.87,41.73,32.81,42.66,5.72,6.0221493,52.2132321
3,1483484400.0,0.72,31534.0,59917.0,42.7,31.12,35.73,44.11,5.77,6.0221493,52.2132321
4,1483570800.0,0.4,31514.0,59991.0,35.78,21.25,24.71,35.78,5.99,6.0221493,52.2132321
5,1483657200.0,0.54,31489.0,60067.0,30.94,27.56,21.25,30.94,5.88,6.0221493,52.2132321
6,1483743600.0,0.97,31462.0,60145.0,32.82,32.95,27.69,33.69,2.03,6.0221493,52.2132321
7,1483830000.0,1.0,31431.0,60226.0,41.74,37.19,34.59,41.74,1.25,6.0221493,52.2132321
8,1483916400.0,0.9,31398.0,60309.0,41.3,37.89,37.19,41.3,2.14,6.0221493,52.2132321
9,1484002800.0,0.75,31361.0,60394.0,42.8,41.15,37.12,42.8,4.17,6.0221493,52.2132321
10,1484089200.0,0.76,31320.0,60481.0,48.24,41.3,41.55,48.24,4.49,6.0221493,52.2132321
11,1484175600.0,0.78,31277.0,60571.0,43.84,32.67,35.15,43.84,5.88,6.0221493,52.2132321
12,1484262000.0,0.69,31231.0,60662.0,38.39,34.43,32.67,39.43,4.32,6.0221493,52.2132321
13,1484348400.0,0.66,31182.0,60755.0,36.46,28.94,32.61,39.58,6.04,6.0221493,52.2132321
14,1484434800.0,0.58,31129.0,60850.0,37.94,26.96,28.89,37.94,2.56,6.0221493,52.2132321
15,1484521200.0,0.95,31074.0,60947.0,29.75,25.4,25.93,29.94,2.58,6.0221493,52.2132321
16,1484607600.0,0.98,31016.0,61045.0,29.44,24.15,24.81,29.44,2.09,6.0221493,52.2132321
17,1484694000.0,0.95,30955.0,61145.0,29.56,25.96,24.15,29.56,1.33,6.0221493,52.2132321
18,1484780400.0,0.49,30892.0,61246.0,38.17,23.36,25.27,38.17,4.01,6.0221493,52.2132321
19,1484866800.0,0.2,30826.0,61348.0,39.1,28.67,23.36,39.1,5.34,6.0221493,52.2132321
20,1484953200.0,0.24,30757.0,61452.0,39.83,19.45,27.58,39.83,4.85,6.0221493,52.2132321
21,1485039600.0,0.24,30685.0,61556.0,37.67,21.41,19.3,37.67,4.73,6.0221493,52.2132321
22,1485126000.0,0.9,30612.0,61662.0,34.88,33.08,21.41,34.88,2.51,6.0221493,52.2132321
23,1485212400.0,0.96,30535.0,61769.0,35.42,28.52,32.07,35.42,0.69,6.0221493,52.2132321
24,1485298800.0,0.72,30456.0,61877.0,33.25,23.57,26.2,33.25,2.7,6.0221493,52.2132321
25,1485385200.0,0.19,30375.0,61985.0,34.71,26.07,23.57,34.71,5.96,6.0221493,52.2132321
26,1485471600.0,0.39,30292.0,62095.0,43.06,36.78,26.07,43.06,6.19,6.0221493,52.2132321
27,1485558000.0,0.88,30206.0,62205.0,46.93,39.06,36.78,46.93,6.16,6.0221493,52.2132321
28,1485644400.0,0.86,30118.0,62316.0,43.8,38.47,38.65,43.8,5.28,6.0221493,52.2132321
29,1485730800.0,0.96,30028.0,62427.0,44.78,37.03,37.03,44.78,4.09,6.0221493,52.2132321
30,1485817200.0,0.98,29935.0,62538.0,39.2,34.04,36.74,39.2,4.64,6.0221493,52.2132321
31,1485903600.0,0.7,29841.0,62651.0,40.83,39.76,34.04,41.07,5.3,6.0221493,52.2132321
32,1485990000.0,0.92,29745.0,62763.0,53.58,46.28,40.47,53.58,4.85,6.0221493,52.2132321
33,1486076400.0,0.86,29647.0,62876.0,51.78,39.55,42.69,51.78,6.22,6.0221493,52.2132321
34,1486162800.0,0.66,29547.0,62989.0,46.25,39.92,39.01,46.25,5.53,6.0221493,52.2132321
35,1486249200.0,0.65,29445.0,63102.0,46.83,34.77,38.3,46.83,3.33,6.0221493,52.2132321
36,1486335600.0,0.94,29341.0,63216.0,42.45,34.99,34.77,42.45,2.12,6.0221493,52.2132321
37,1486422000.0,0.95,29236.0,63329.0,36.26,31.66,32.54,38.09,2.47,6.0221493,52.2132321
38,1486508400.0,0.93,29128.0,63443.0,31.89,28.62,30.22,32.53,1.87,6.0221493,52.2132321
39,1486594800.0,0.9,29020.0,63556.0,29.94,25.67,26.62,29.94,2.92,6.0221493,52.2132321
40,1486681200.0,0.77,28909.0,63670.0,29.61,29.38,25.67,29.61,2.66,6.0221493,52.2132321
41,1486767600.0,0.95,28797.0,63784.0,33.53,30.8,29.53,33.53,1.58,6.0221493,52.2132321
42,1486854000.0,0.56,28684.0,63897.0,36.46,29.02,30.8,36.46,2.45,6.0221493,52.2132321
43,1486940400.0,0.23,28569.0,64010.0,44.32,30.87,29.02,44.32,3.73,6.0221493,52.2132321
44,1487026800.0,0.19,28453.0,64124.0,48.62,30.87,30.87,48.62,5.26,6.0221493,52.2132321
45,1487113200.0,0.34,28335.0,64237.0,57.82,40.05,30.87,57.82,5.39,6.0221493,52.2132321
46,1487199600.0,0.72,28216.0,64350.0,47.25,41.36,40.05,47.38,3.62,6.0221493,52.2132321
47,1487286000.0,0.74,28095.0,64462.0,46.31,39.66,41.36,46.31,4.09,6.0221493,52.2132321
48,1487372400.0,0.81,27974.0,64574.0,50.06,37.66,38.99,50.06,3.81,6.0221493,52.2132321
49,1487458800.0,0.84,27851.0,64687.0,45.94,42.96,37.66,45.94,3.17,6.0221493,52.2132321
50,1487545200.0,0.93,27727.0,64798.0,50.33,45.29,43.25,50.67,1.78,6.0221493,52.2132321
51,1487631600.0,0.72,27602.0,64910.0,51.3,45.85,45.29,51.3,5.83,6.0221493,52.2132321
52,1487718000.0,0.77,27476.0,65021.0,51.0,45.3,45.86,51.29,5.38,6.0221493,52.2132321
53,1487804400.0,0.71,27349.0,65132.0,49.17,36.81,41.18,49.17,4.23,6.0221493,52.2132321
54,1487890800.0,0.58,27221.0,65243.0,46.29,33.06,33.8,46.29,6.04,6.0221493,52.2132321
55,1487977200.0,0.72,27092.0,65353.0,45.81,43.45,33.06,45.95,5.38,6.0221493,52.2132321
56,1488063600.0,0.98,26962.0,65463.0,49.08,49.15,43.45,49.85,6.09,6.0221493,52.2132321
57,1488150000.0,0.9,26831.0,65572.0,53.01,39.29,43.03,53.01,5.75,6.0221493,52.2132321
58,1488236400.0,0.79,26699.0,65682.0,44.97,36.39,37.31,44.97,5.96,6.0221493,52.2132321
59,1488322800.0,0.75,26566.0,65791.0,47.65,40.41,36.39,47.65,5.41,6.0221493,52.2132321
60,1488409200.0,0.68,26433.0,65899.0,44.92,35.45,40.09,44.92,5.01,6.0221493,52.2132321
61,1488495600.0,0.63,26299.0,66007.0,49.13,44.69,35.45,49.13,6.19,6.0221493,52.2132321
62,1488582000.0,0.77,26164.0,66115.0,56.95,42.57,44.69,56.95,6.14,6.0221493,52.2132321
63,1488668400.0,0.82,26029.0,66223.0,51.0,39.71,41.39,51.0,6.01,6.0221493,52.2132321
64,1488754800.0,0.94,25893.0,66330.0,47.5,41.78,39.71,47.5,5.87,6.0221493,52.2132321
65,1488841200.0,0.86,25756.0,66437.0,46.9,37.1,40.33,46.9,3.41,6.0221493,52.2132321
66,1488927600.0,0.76,25619.0,66543.0,48.45,39.14,37.1,48.45,3.14,6.0221493,52.2132321
67,1489014000.0,0.9,25481.0,66650.0,52.06,34.6,39.14,52.06,3.16,6.0221493,52.2132321
68,1489100400.0,0.68,25343.0,66756.0,53.05,36.12,34.6,53.05,4.78,6.0221493,52.2132321
69,1489186800.0,0.53,25205.0,66862.0,55.85,39.54,36.12,55.85,6.22,6.0221493,52.2132321
70,1489273200.0,0.45,25066.0,66967.0,58.74,34.08,39.54,58.74,6.22,6.0221493,52.2132321
71,1489359600.0,0.4,24926.0,67072.0,57.09,39.59,34.08,57.09,6.22,6.0221493,52.2132321
72,1489446000.0,0.78,24787.0,67177.0,59.72,45.11,39.59,59.72,5.07,6.0221493,52.2132321
73,1489532400.0,0.55,24647.0,67282.0,57.78,34.75,39.62,57.78,4.59,6.0221493,52.2132321
74,1489618800.0,0.3,24506.0,67387.0,63.3,45.42,34.75,63.3,6.22,6.0221493,52.2132321
75,1489705200.0,0.8,24366.0,67491.0,51.07,43.34,43.65,51.07,5.52,6.0221493,52.2132321
76,1489791600.0,0.84,24225.0,67595.0,50.36,46.54,43.34,50.36,3.81,6.0221493,52.2132321
77,1489878000.0,0.98,24084.0,67699.0,53.88,50.07,46.54,53.88,4.41,6.0221493,52.2132321
78,1489964400.0,0.96,23943.0,67803.0,51.58,44.98,49.83,51.58,3.38,6.0221493,52.2132321
79,1490050800.0,0.62,23802.0,67906.0,49.52,33.74,37.61,49.52,5.81,6.0221493,52.2132321
80,1490137200.0,0.45,23661.0,68010.0,55.04,36.45,33.74,55.04,6.22,6.0221493,52.2132321
