,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude
0,1514761200.0,0.85,31578.0,59698.0,45.79,40.07,41.99,48.7,5.98,6.0221493,52.2132321
1,1514847600.0,0.84,31568.0,59762.0,44.31,42.49,40.07,44.31,5.96,6.0221493,52.2132321
2,1514934000.0,0.78,31555.0,59830.0,48.73,44.8,43.31,49.74,5.55,6.0221493,52.2132321
3,1515020400.0,0.92,31539.0,59900.0,49.16,40.96,44.4,49.16,4.96,6.0221493,52.2132321
4,1515106800.0,0.87,31519.0,59973.0,46.26,38.73,40.69,46.26,6.06,6.0221493,52.2132321
5,1515193200.0,0.95,31495.0,60048.0,43.5,32.85,36.5,43.5,5.78,6.0221493,52.2132321
6,1515279600.0,0.82,31469.0,60126.0,36.16,29.5,30.81,36.71,6.22,6.0221493,52.2132321
7,1515366000.0,0.79,31439.0,60206.0,38.55,31.98,29.5,38.55,6.22,6.0221493,52.2132321
8,1515452400.0,0.98,31406.0,60288.0,38.47,40.08,31.98,41.56,5.9,6.0221493,52.2132321
9,1515538800.0,0.85,31370.0,60373.0,45.85,41.54,42.04,45.85,5.88,6.0221493,52.2132321
10,1515625200.0,0.93,31330.0,60460.0,46.43,37.77,37.77,46.43,1.97,6.0221493,52.2132321
11,1515711600.0,0.99,31288.0,60549.0,40.76,38.88,37.85,40.76,2.63,6.0221493,52.2132321
12,1515798000.0,0.98,31242.0,60640.0,42.85,35.81,38.54,42.85,3.39,6.0221493,52.2132321
13,1515884400.0,0.86,31194.0,60732.0,40.4,33.8,33.8,40.4,6.01,6.0221493,52.2132321
14,1515970800.0,0.87,31142.0,60827.0,43.21,41.21,33.91,44.54,5.48,6.0221493,52.2132321
15,1516057200.0,0.77,31088.0,60923.0,42.13,34.75,37.05,43.99,6.22,6.0221493,52.2132321
16,1516143600.0,0.78,31030.0,61021.0,40.5,37.63,34.75,40.62,5.85,6.0221493,52.2132321
17,1516230000.0,0.83,30970.0,61120.0,48.67,34.66,34.8,48.67,5.8,6.0221493,52.2132321
18,1516316400.0,0.71,30907.0,61221.0,42.13,33.76,34.66,42.13,5.38,6.0221493,52.2132321
19,1516402800.0,0.86,30842.0,61323.0,38.2,32.75,33.76,38.2,4.85,6.0221493,52.2132321
20,1516489200.0,0.78,30774.0,61426.0,43.22,35.95,32.75,43.22,5.84,6.0221493,52.2132321
21,1516575600.0,0.94,30703.0,61531.0,46.35,42.12,35.95,46.35,4.36,6.0221493,52.2132321
22,1516662000.0,0.98,30630.0,61636.0,48.62,48.3,42.12,50.1,5.32,6.0221493,52.2132321
23,1516748400.0,0.98,30554.0,61743.0,57.09,44.8,46.9,57.09,5.49,6.0221493,52.2132321
24,1516834800.0,0.88,30475.0,61851.0,48.47,39.58,44.02,48.47,6.22,6.0221493,52.2132321
