,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility
30,1454194800.0,0.2025613079019073,30304.0,62698.0,-10.188010899182558,1.6136239782016375,-5.710980926430523,-7.6712806539509515,0.17209809264305065
29,1454108400.0,0.26256130790190735,30396.0,62586.0,-8.478010899182557,-6.236376021798364,-4.6809809264305215,-8.101280653950958,0.42209809264305065
28,1454022000.0,0.37256130790190733,30485.0,62474.0,-7.088010899182564,1.1536239782016366,-4.730980926430519,-7.281280653950958,0.3920980926430504
27,1453935600.0,-0.17743869209809265,30571.0,62364.0,-10.488010899182562,-5.25637602179836,-5.780980926430523,-8.851280653950958,0.6020980926430504
26,1453849200.0,0.38256130790190734,30656.0,62254.0,-4.018010899182563,-5.536376021798361,3.0690190735694785,-4.211280653950958,0.2620980926430505
25,1453762800.0,0.13256130790190734,30738.0,62144.0,-6.448010899182563,1.2836239782016392,-3.290980926430521,-6.271280653950953,0.47209809264305047
24,1453676400.0,0.0825613079019073,30818.0,62036.0,-0.48801089918256224,-3.816376021798362,1.1090190735694776,-0.6812806539509566,-0.6679019073569492
23,1453590000.0,0.38256130790190734,30896.0,61928.0,-7.158010899182564,0.5836239782016364,-4.950980926430525,-7.091280653950953,-2.3879019073569494
22,1453503600.0,-0.0574386920980926,30971.0,61822.0,-8.81801089918256,-5.476376021798366,-6.520980926430525,-9.011280653950955,-0.3479019073569498
21,1453417200.0,0.0025613079019073393,31044.0,61716.0,-20.64801089918256,-10.846376021798363,-17.260980926430523,-17.181280653950957,-1.1879019073569497
20,1453330800.0,0.052561307901907384,31114.0,61612.0,-23.59801089918256,-17.786376021798365,-19.570980926430522,-23.791280653950956,-3.4279019073569494
19,1453244400.0,0.2225613079019073,31181.0,61508.0,-16.518010899182563,-20.096376021798363,-15.840980926430522,-16.711280653950958,0.6020980926430504
18,1453158000.0,0.11256130790190733,31246.0,61406.0,-22.09801089918256,-14.346376021798363,-24.15098092643052,-22.291280653950956,0.6020980926430504
17,1453071600.0,-0.34743869209809264,31308.0,61306.0,-25.33801089918256,-24.67637602179836,-22.570980926430522,-25.531280653950954,0.6020980926430504
16,1452985200.0,-0.36743869209809266,31367.0,61207.0,-20.95801089918256,-23.096376021798363,-20.59098092643052,-20.771280653950953,0.6020980926430504
15,1452898800.0,0.012561307901907348,31423.0,61109.0,-16.78801089918256,-17.496376021798362,-15.700980926430521,-16.981280653950954,0.6020980926430504
14,1452812400.0,0.24256130790190733,31476.0,61014.0,-18.63801089918256,-16.226376021798362,-14.140980926430522,-18.831280653950955,0.47209809264305047
13,1452726000.0,0.27256130790190736,31527.0,60920.0,-15.778010899182561,-12.00637602179836,-10.780980926430523,-15.971280653950956,0.41209809264305
12,1452639600.0,0.10256130790190732,31574.0,60827.0,-14.458010899182561,-11.306376021798364,-9.270980926430525,-13.211280653950958,0.5720980926430501
11,1452553200.0,0.3025613079019074,31619.0,60737.0,-11.96801089918256,-5.206376021798363,-4.51098092643052,-12.161280653950953,0.6020980926430504
10,1452466800.0,0.25256130790190734,31660.0,60649.0,-13.648010899182559,-4.276376021798363,-9.33098092643052,-13.031280653950958,0.3420980926430506
9,1452380400.0,0.16256130790190737,31698.0,60563.0,-10.74801089918256,-9.856376021798361,-4.810980926430524,-10.921280653950951,0.6020980926430504
8,1452294000.0,0.15256130790190736,31733.0,60479.0,-11.938010899182558,-3.75637602179836,-11.240980926430524,-12.131280653950952,-0.1679019073569492
