,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility
0,914545868.4,0.33435,914568337.215,914580172.157,23.68811,23.50653,17.86892,24.15718,2.69187
1,914632268.4,0.71435,914654729.215,914666636.157,21.99811,25.14653,23.34892,21.92718,3.42187
2,914718668.4,0.76435,914741117.215,914753102.157,25.33811,22.73653,24.77892,25.26718,3.20187
3,914805068.4,0.77435,914827502.215,914839571.157,22.31811,24.88653,22.92892,22.24718,2.71187
4,914891468.4,0.76435,914913884.215,914926043.157,23.85811,18.06653,23.09892,23.78718,3.88187
5,914977868.4,0.76435,915000262.215,915012517.157,15.16811,17.71653,17.57892,18.60718,-0.48813
6,915064268.4,0.71435,915086637.215,915098994.157,24.10811,25.86653,18.73892,24.31718,2.24187
7,915150668.4,0.13435,915173008.215,915185473.157,25.53811,17.99653,19.50892,25.46718,4.15187
8,915237068.4,0.54435,915259376.215,915271955.157,24.17811,26.00653,18.18892,24.10718,3.38187
9,915323468.4,0.55435,915345741.215,915358439.157,25.36811,19.90653,24.61892,25.31718,4.15187
10,915409868.4,0.64435,915432103.215,915444925.157,22.46811,25.48653,20.09892,23.20718,3.89187
11,915496268.4,0.69435,915518462.215,915531413.157,24.14811,24.55653,24.91892,24.07718,4.15187
12,915582668.4,0.49435,915604817.215,915617903.157,21.65811,18.45653,20.15892,23.02718,4.12187
13,915669068.4,0.66435,915691170.215,915704396.157,20.33811,17.75653,18.64892,20.26718,3.96187
14,915755468.4,0.63435,915777519.215,915790890.157,17.47811,13.53653,15.28892,17.40718,4.02187
15,915841868.4,0.40435,915863866.215,915877385.157,19.32811,12.26653,13.72892,19.25718,4.15187
16,915928268.4,0.02435,915950210.215,915963883.157,15.15811,6.66653,8.83892,15.46718,4.15187
17,916014668.4,0.04435,916036551.215,916050382.157,10.77811,5.08653,6.85892,10.70718,4.15187
18,916101068.4,0.50435,916122889.215,916136882.157,14.01811,15.41653,5.27892,13.94718,4.15187
19,916187468.4,0.61435,916209224.215,916223384.157,19.59811,9.66653,13.58892,19.52718,4.15187
20,916273868.4,0.44435,916295557.215,916309888.157,12.51811,11.97653,9.85892,12.44718,0.12187
21,916360268.4,0.39435,916381887.215,916396392.157,15.46811,18.91653,12.16892,19.05718,2.36187
22,916446668.4,0.33435,916468214.215,916482898.157,27.29811,24.28653,22.90892,27.22718,3.20187
23,916533068.4,0.77435,916554539.215,916569404.157,28.95811,30.34653,24.47892,29.14718,1.16187
24,916619468.4,0.47435,916640861.215,916655912.157,35.62811,25.94653,30.53892,35.55718,2.88187
25,916705868.4,0.52435,916727181.215,916742420.157,29.66811,31.04653,26.13892,29.96718,4.02187
26,916792268.4,0.77435,916813499.215,916828930.157,32.09811,24.22653,32.49892,32.02718,3.81187
27,916878668.4,0.21435,916899814.215,916915440.157,25.62811,24.50653,23.64892,27.38718,4.15187
28,916965068.4,0.76435,916986128.215,917001950.157,29.02811,30.91653,24.69892,28.95718,3.94187
29,917051468.4,0.65435,917072439.215,917088462.157,27.63811,23.52653,24.74892,28.13718,3.97187
30,917137868.4,0.59435,917158747.215,917174974.157,25.92811,31.37653,23.71892,28.56718,3.72187
31,917224268.4,0.74435,917245054.215,917261486.157,31.51811,30.46653,32.00892,31.44718,3.67187
32,917310668.4,0.42435,917331359.215,917347999.157,27.76811,23.04653,27.55892,29.93718,4.15187
33,917397068.4,0.36435,917417661.215,917434512.157,22.21811,20.86653,21.67892,22.93718,4.12187
34,917483468.4,0.66435,917503962.215,917521025.157,24.03811,22.72653,21.05892,23.96718,4.02187
35,917569868.4,0.77435,917590261.215,917607539.157,29.24811,30.84653,22.91892,29.17718,3.89187
36,917656268.4,0.74435,917676558.215,917694053.157,29.42811,28.60653,31.03892,29.35718,4.15187
37,917742668.4,0.57435,917762853.215,917780567.157,26.83811,26.91653,27.10892,31.17718,4.07187
38,917829068.4,0.73435,917849147.215,917867081.157,27.62811,25.83653,27.21892,27.55718,3.49187
39,917915468.4,0.57435,917935439.215,917953595.157,22.80811,21.32653,22.38892,25.40718,4.09187
40,918001868.4,0.63435,918021729.215,918040110.157,23.35811,20.21653,21.51892,23.28718,3.97187
41,918088268.4,0.11435,918108018.215,918126624.157,24.22811,15.83653,17.86892,24.15718,4.15187
42,918174668.4,0.39435,918194305.215,918213138.157,21.24811,13.26653,15.86892,21.17718,2.32187
43,918261068.4,0.35435,918280590.215,918299652.157,16.77811,17.87653,13.45892,16.73718,3.71187
44,918347468.4,0.77435,918366874.215,918386166.157,15.37811,18.75653,17.91892,15.88718,2.17187
45,918433868.4,0.31435,918453157.215,918472680.157,21.84811,6.67653,12.36892,21.77718,4.15187
46,918520268.4,-0.16565,918539439.215,918559193.157,20.92811,8.50653,6.86892,20.85718,4.15187
47,918606668.4,-0.13565,918625719.215,918645707.157,16.34811,11.99653,8.69892,16.27718,4.15187
48,918693068.4,0.64435,918711997.215,918732220.157,15.91811,13.48653,12.18892,15.84718,2.34187
49,918779468.4,0.39435,918798275.215,918818733.157,24.71811,22.97653,13.67892,24.64718,1.74187
50,918865868.4,0.71435,918884551.215,918905245.157,27.25811,30.10653,24.20892,28.98718,3.33187
51,918952268.4,0.77435,918970826.215,918991758.157,30.28811,26.38653,30.29892,30.78718,3.20187
52,919038668.4,0.73435,919057101.215,919078270.157,23.15811,19.48653,23.10892,29.35718,3.50187
53,919125068.4,0.39435,919143374.215,919164781.157,23.73811,14.20653,19.67892,23.66718,4.09187
54,919211468.4,0.28435,919229646.215,919251293.157,20.19811,14.61653,14.39892,20.12718,3.94187
55,919297868.4,0.33435,919315917.215,919337804.157,19.72811,15.17653,14.80892,19.65718,3.65187
56,919384268.4,0.73435,919402187.215,919424315.157,19.58811,12.93653,15.36892,19.51718,3.73187
57,919470668.4,0.17435,919488456.215,919510825.157,21.44811,13.41653,13.12892,21.37718,4.04187
58,919557068.4,0.04435,919574724.215,919597335.157,21.98811,13.48653,13.60892,21.91718,3.48187
59,919643468.4,0.02435,919660992.215,919683845.157,21.92811,10.05653,11.93892,21.85718,4.15187
60,919729868.4,0.58435,919747258.215,919770354.157,21.72811,21.73653,10.24892,25.11718,2.60187
61,919816268.4,0.70435,919833524.215,919856863.157,22.99811,17.08653,18.69892,25.96718,3.73187
62,919902668.4,0.43435,919919789.215,919943372.157,24.13811,18.15653,17.27892,24.06718,4.15187
63,919989068.4,0.63435,920006054.215,920029880.157,16.84811,9.35653,14.76892,16.77718,3.10187
64,920075468.4,0.33435,920092318.215,920116388.157,22.82811,15.05653,9.54892,22.75718,4.15187
65,920161868.4,0.66435,920178581.215,920202896.157,22.43811,14.92653,15.24892,22.36718,3.07187
66,920248268.4,0.46435,920264844.215,920289404.157,21.93811,16.07653,15.11892,21.86718,3.94187
67,920334668.4,0.58435,920351106.215,920375911.157,22.77811,20.35653,16.26892,22.70718,4.09187
68,920421068.4,0.62435,920437367.215,920462417.157,25.07811,14.81653,20.54892,25.00718,4.15187
69,920507468.4,0.45435,920523628.215,920548924.157,25.75811,15.83653,15.00892,25.68718,4.07187
70,920593868.4,0.33435,920609889.215,920635430.157,21.51811,12.07653,15.74892,21.44718,0.66187
71,920680268.4,-0.18565,920696150.215,920721936.157,27.30811,13.37653,12.26892,27.23718,2.91187
72,920766668.4,-0.01565,920782409.215,920808442.157,25.99811,13.91653,13.56892,25.92718,4.15187
73,920853068.4,0.40435,920868669.215,920894947.157,27.40811,16.06653,14.10892,27.33718,3.92187
74,920939468.4,0.71435,920954929.215,920981453.157,25.89811,16.51653,16.25892,25.82718,2.22187
75,921025868.4,-0.06565,921041188.215,921067958.157,26.74811,15.46653,16.70892,26.67718,4.09187
76,921112268.4,-0.14565,921127447.215,921154463.157,30.37811,20.61653,15.65892,30.30718,3.84187
77,921198668.4,0.77435,921213705.215,921240967.157,23.04811,23.96653,20.80892,22.97718,3.55187
78,921285068.4,0.77435,921299964.215,921327472.157,24.44811,23.40653,24.15892,24.37718,4.15187
79,921371468.4,0.75435,921386222.215,921413976.157,25.79811,26.36653,23.59892,25.72718,3.49187
80,921457868.4,0.75435,921472481.215,921500480.157,26.64811,24.37653,25.58892,26.57718,4.12187
81,921544268.4,0.70435,921558739.215,921586985.157,27.48811,26.01653,24.56892,27.41718,4.12187
82,921630668.4,0.72435,921644997.215,921673488.157,27.30811,26.03653,26.20892,27.23718,4.15187
83,921717068.4,0.70435,921731256.215,921759992.157,27.98811,27.43653,26.22892,27.91718,2.04187
84,921803468.4,0.54435,921817514.215,921846496.157,26.58811,16.57653,17.89892,26.51718,2.05187
85,921889868.4,0.50435,921903772.215,921933000.157,36.95811,27.15653,16.76892,36.88718,2.04187
86,921976268.4,0.63435,921990031.215,922019504.157,32.72811,26.71653,26.90892,32.65718,3.95187
87,922059068.4,0.47435,922076295.215,922106002.157,31.54811,26.11653,28.27892,31.47718,4.15187
88,922145468.4,0.60435,922162554.215,922192506.157,29.42811,26.11653,26.30892,29.35718,4.04187
89,922231868.4,0.57435,922248813.215,922279009.157,29.10811,22.03653,26.30892,29.03718,4.07187
90,922318268.4,0.59435,922335072.215,922365513.157,30.63811,16.95653,22.22892,30.56718,4.15187
91,922404668.4,0.38435,922421332.215,922452016.157,32.25811,26.12653,17.14892,32.18718,4.15187
92,922491068.4,0.66435,922507592.215,922538520.157,32.69811,34.71653,27.11892,32.62718,4.15187
93,922577468.4,0.53435,922593852.215,922625023.157,42.84811,36.76653,35.35892,42.77718,4.15187
94,922663868.4,0.64435,922680113.215,922711527.157,36.16811,30.09653,33.32892,36.09718,3.41187
95,922750268.4,0.65435,922766374.215,922798031.157,32.22811,26.45653,29.96892,32.15718,4.12187
96,922836668.4,0.58435,922852636.215,922884534.157,29.43811,25.73653,26.64892,29.36718,3.08187
