Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
20150101,0.800,0.256,12,260,3120,1,2800,1447,09/03/13,20.0
20150102,2.600,0.833,12,260,3120,1,2800,1447,09/03/13,20.0
20150103,0.400,0.128,12,260,3120,1,2800,1447,09/03/13,20.0
20150104,3.000,0.962,12,260,3120,1,2800,1447,09/03/13,20.0
20150105,1.000,0.321,12,260,3120,1,2800,1447,09/03/13,20.0
20150106,1.900,0.609,12,260,3120,1,2800,1447,09/03/13,20.0
20150107,2.800,0.897,12,260,3120,1,2800,1447,09/03/13,20.0
20150108,0.100,0.032,12,260,3120,1,2800,1447,09/03/13,20.0
20150109,0.600,0.192,12,260,3120,1,2800,1447,09/03/13,20.0
20150110,0.700,0.224,12,260,3120,1,2800,1447,09/03/13,20.0
20150111,1.400,0.449,12,260,3120,1,2800,1447,09/03/13,20.0
20150112,0.600,0.192,12,260,3120,1,2800,1447,09/03/13,20.0
20150113,0.600,0.192,12,260,3120,1,2800,1447,09/03/13,20.0
20150114,0.800,0.256,12,260,3120,1,2800,1447,09/03/13,20.0
20150115,0.400,0.128,12,260,3120,1,2800,1447,09/03/13,20.0
20150116,3.200,1.026,12,260,3120,1,2800,1447,09/03/13,20.0
20150117,4.000,1.282,12,260,3120,1,2800,1447,09/03/13,20.0
20150118,0.500,0.160,12,260,3120,1,2800,1447,09/03/13,20.0
20150119,1.600,0.513,12,260,3120,1,2800,1447,09/03/13,20.0
20150120,2.400,0.769,12,260,3120,1,2800,1447,09/03/13,20.0
20150121,2.300,0.737,12,260,3120,1,2800,1447,09/03/13,20.0
20150122,1.000,0.321,12,260,3120,1,2800,1447,09/03/13,20.0
20150123,2.800,0.897,12,260,3120,1,2800,1447,09/03/13,20.0
20150124,3.700,1.186,12,260,3120,1,2800,1447,09/03/13,20.0
20150125,1.100,0.353,12,260,3120,1,2800,1447,09/03/13,20.0
20150126,1.100,0.353,12,260,3120,1,2800,1447,09/03/13,20.0
20150127,2.700,0.865,12,260,3120,1,2800,1447,09/03/13,20.0
20150128,0.200,0.064,12,260,3120,1,2800,1447,09/03/13,20.0
20150129,2.000,0.641,12,260,3120,1,2800,1447,09/03/13,20.0
20150130,3.900,1.250,12,260,3120,1,2800,1447,09/03/13,20.0
20150131,2.900,0.929,12,260,3120,1,2800,1447,09/03/13,20.0
20150201,3.000,0.962,12,260,3120,1,2800,1447,09/03/13,20.0
20150202,4.800,1.538,12,260,3120,1,2800,1447,09/03/13,20.0
20150203,5.600,1.795,12,260,3120,1,2800,1447,09/03/13,20.0
20150204,5.400,1.731,12,260,3120,1,2800,1447,09/03/13,20.0
20150205,4.300,1.378,12,260,3120,1,2800,1447,09/03/13,20.0
20150206,7.500,2.404,12,260,3120,1,2800,1447,09/03/13,20.0
20150207,2.500,0.801,12,260,3120,1,2800,1447,09/03/13,20.0
20150208,3.800,1.218,12,260,3120,1,2800,1447,09/03/13,20.0
20150209,1.300,0.417,12,260,3120,1,2800,1447,09/03/13,20.0
20150210,1.100,0.353,12,260,3120,1,2800,1447,09/03/13,20.0
20150211,0.800,0.256,12,260,3120,1,2800,1447,09/03/13,20.0
20150212,1.200,0.385,12,260,3120,1,2800,1447,09/03/13,20.0
20150213,6.700,2.147,12,260,3120,1,2800,1447,09/03/13,20.0
20150214,2.600,0.833,12,260,3120,1,2800,1447,09/03/13,20.0
20150215,5.000,1.603,12,260,3120,1,2800,1447,09/03/13,20.0
