Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
20170101,0.432,0.092,24,195,4680,1,4200,1103,02/08/12,53.0
20170102,4.301,0.919,24,195,4680,1,4200,1103,02/08/12,53.0
20170103,1.004,0.215,24,195,4680,1,4200,1103,02/08/12,53.0
20170104,5.325,1.138,24,195,4680,1,4200,1103,02/08/12,53.0
20170105,8.047,1.719,24,195,4680,1,4200,1103,02/08/12,53.0
20170106,7.364,1.574,24,195,4680,1,4200,1103,02/08/12,53.0
20170107,0.497,0.106,24,195,4680,1,4200,1103,02/08/12,53.0
20170108,0.875,0.187,24,195,4680,1,4200,1103,02/08/12,53.0
20170109,0.481,0.103,24,195,4680,1,4200,1103,02/08/12,53.0
20170110,1.962,0.419,24,195,4680,1,4200,1103,02/08/12,53.0
20170111,4.658,0.995,24,195,4680,1,4200,1103,02/08/12,53.0
20170112,1.871,0.400,24,195,4680,1,4200,1103,02/08/12,53.0
20170113,3.592,0.768,24,195,4680,1,4200,1103,02/08/12,53.0
20170114,4.285,0.916,24,195,4680,1,4200,1103,02/08/12,53.0
20170115,3.259,0.696,24,195,4680,1,4200,1103,02/08/12,53.0
20170116,8.579,1.833,24,195,4680,1,4200,1103,02/08/12,53.0
20170117,5.998,1.282,24,195,4680,1,4200,1103,02/08/12,53.0
20170118,3.865,0.826,24,195,4680,1,4200,1103,02/08/12,53.0
20170119,9.848,2.104,24,195,4680,1,4200,1103,02/08/12,53.0
20170120,6.430,1.374,24,195,4680,1,4200,1103,02/08/12,53.0
20170121,9.492,2.028,24,195,4680,1,4200,1103,02/08/12,53.0
20170122,8.231,1.759,24,195,4680,1,4200,1103,02/08/12,53.0
20170123,1.825,0.390,24,195,4680,1,4200,1103,02/08/12,53.0
20170124,2.080,0.444,24,195,4680,1,4200,1103,02/08/12,53.0
20170125,1.557,0.333,24,195,4680,1,4200,1103,02/08/12,53.0
20170126,9.010,1.925,24,195,4680,1,4200,1103,02/08/12,53.0
20170127,4.619,0.987,24,195,4680,1,4200,1103,02/08/12,53.0
20170128,4.550,0.972,24,195,4680,1,4200,1103,02/08/12,53.0
20170129,1.329,0.284,24,195,4680,1,4200,1103,02/08/12,53.0
20170130,1.079,0.231,24,195,4680,1,4200,1103,02/08/12,53.0
20170131,3.379,0.722,24,195,4680,1,4200,1103,02/08/12,53.0
20170201,1.990,0.425,24,195,4680,1,4200,1103,02/08/12,53.0
20170202,5.765,1.232,24,195,4680,1,4200,1103,02/08/12,53.0
20170203,4.667,0.997,24,195,4680,1,4200,1103,02/08/12,53.0
20170204,2.707,0.578,24,195,4680,1,4200,1103,02/08/12,53.0
20170205,3.922,0.838,24,195,4680,1,4200,1103,02/08/12,53.0
20170206,1.580,0.338,24,195,4680,1,4200,1103,02/08/12,53.0
20170207,1.149,0.246,24,195,4680,1,4200,1103,02/08/12,53.0
20170208,0.296,0.063,24,195,4680,1,4200,1103,02/08/12,53.0
20170209,0.886,0.189,24,195,4680,1,4200,1103,02/08/12,53.0
20170210,0.698,0.149,24,195,4680,1,4200,1103,02/08/12,53.0
20170211,0.051,0.011,24,195,4680,1,4200,1103,02/08/12,53.0
20170212,0.840,0.179,24,195,4680,1,4200,1103,02/08/12,53.0
20170213,13.166,2.813,24,195,4680,1,4200,1103,02/08/12,53.0
20170214,12.656,2.704,24,195,4680,1,4200,1103,02/08/12,53.0
20170215,10.452,2.233,24,195,4680,1,4200,1103,02/08/12,53.0
20170216,6.584,1.407,24,195,4680,1,4200,1103,02/08/12,53.0
20170217,2.208,0.472,24,195,4680,1,4200,1103,02/08/12,53.0
20170218,7.737,1.653,24,195,4680,1,4200,1103,02/08/12,53.0
20170219,4.285,0.916,24,195,4680,1,4200,1103,02/08/12,53.0
20170220,1.447,0.309,24,195,4680,1,4200,1103,02/08/12,53.0
20170221,11.694,2.499,24,195,4680,1,4200,1103,02/08/12,53.0
20170222,1.499,0.320,24,195,4680,1,4200,1103,02/08/12,53.0
20170223,1.907,0.407,24,195,4680,1,4200,1103,02/08/12,53.0
20170224,9.308,1.989,24,195,4680,1,4200,1103,02/08/12,53.0
20170225,3.440,0.735,24,195,4680,1,4200,1103,02/08/12,53.0
20170226,1.363,0.291,24,195,4680,1,4200,1103,02/08/12,53.0
20170227,2.026,0.433,24,195,4680,1,4200,1103,02/08/12,53.0
20170228,0.182,0.039,24,195,4680,1,4200,1103,02/08/12,53.0
20170301,8.357,1.786,24,195,4680,1,4200,1103,02/08/12,53.0
20170302,6.455,1.379,24,195,4680,1,4200,1103,02/08/12,53.0
20170303,3.826,0.818,24,195,4680,1,4200,1103,02/08/12,53.0
20170304,5.228,1.117,24,195,4680,1,4200,1103,02/08/12,53.0
20170305,7.440,1.590,24,195,4680,1,4200,1103,02/08/12,53.0
20170306,14.477,3.093,24,195,4680,1,4200,1103,02/08/12,53.0
20170307,5.813,1.242,24,195,4680,1,4200,1103,02/08/12,53.0
20170308,1.369,0.293,24,195,4680,1,4200,1103,02/08/12,53.0
20170309,14.767,3.155,24,195,4680,1,4200,1103,02/08/12,53.0
20170310,12.200,2.607,24,195,4680,1,4200,1103,02/08/12,53.0
20170311,9.450,2.019,24,195,4680,1,4200,1103,02/08/12,53.0
20170312,16.141,3.449,24,195,4680,1,4200,1103,02/08/12,53.0
20170313,15.794,3.375,24,195,4680,1,4200,1103,02/08/12,53.0
20170314,9.310,1.989,24,195,4680,1,4200,1103,02/08/12,53.0
20170315,20.154,4.306,24,195,4680,1,4200,1103,02/08/12,53.0
20170316,18.300,3.910,24,195,4680,1,4200,1103,02/08/12,53.0
20170317,12.432,2.656,24,195,4680,1,4200,1103,02/08/12,53.0
20170318,2.488,0.532,24,195,4680,1,4200,1103,02/08/12,53.0
20170319,6.288,1.344,24,195,4680,1,4200,1103,02/08/12,53.0
20170320,1.438,0.307,24,195,4680,1,4200,1103,02/08/12,53.0
20170321,19.479,4.162,24,195,4680,1,4200,1103,02/08/12,53.0
20170322,13.271,2.836,24,195,4680,1,4200,1103,02/08/12,53.0
20170323,17.978,3.841,24,195,4680,1,4200,1103,02/08/12,53.0
20170324,22.640,4.838,24,195,4680,1,4200,1103,02/08/12,53.0
20170325,22.954,4.905,24,195,4680,1,4200,1103,02/08/12,53.0
20170326,19.706,4.211,24,195,4680,1,4200,1103,02/08/12,53.0
20170327,22.493,4.806,24,195,4680,1,4200,1103,02/08/12,53.0
20170328,19.584,4.185,24,195,4680,1,4200,1103,02/08/12,53.0
20170329,4.700,1.004,24,195,4680,1,4200,1103,02/08/12,53.0
20170330,16.768,3.583,24,195,4680,1,4200,1103,02/08/12,53.0
20170331,12.114,2.588,24,195,4680,1,4200,1103,02/08/12,53.0
20170401,6.486,1.386,24,195,4680,1,4200,1103,02/08/12,53.0
20170402,22.962,4.906,24,195,4680,1,4200,1103,02/08/12,53.0
20170403,17.332,3.703,24,195,4680,1,4200,1103,02/08/12,53.0
20170404,14.596,3.119,24,195,4680,1,4200,1103,02/08/12,53.0
20170405,14.624,3.125,24,195,4680,1,4200,1103,02/08/12,53.0
20170406,10.381,2.218,24,195,4680,1,4200,1103,02/08/12,53.0
20170407,8.460,1.808,24,195,4680,1,4200,1103,02/08/12,53.0
20170408,20.036,4.281,24,195,4680,1,4200,1103,02/08/12,53.0
20170409,24.162,5.163,24,195,4680,1,4200,1103,02/08/12,53.0
20170410,13.660,2.919,24,195,4680,1,4200,1103,02/08/12,53.0
20170411,22.674,4.845,24,195,4680,1,4200,1103,02/08/12,53.0
20170412,5.543,1.184,24,195,4680,1,4200,1103,02/08/12,53.0
20170413,20.361,4.351,24,195,4680,1,4200,1103,02/08/12,53.0
20170414,17.153,3.665,24,195,4680,1,4200,1103,02/08/12,53.0
20170415,15.517,3.316,24,195,4680,1,4200,1103,02/08/12,53.0
20170416,10.767,2.301,24,195,4680,1,4200,1103,02/08/12,53.0
20170417,20.080,4.291,24,195,4680,1,4200,1103,02/08/12,53.0
20170418,26.895,5.747,24,195,4680,1,4200,1103,02/08/12,53.0
20170419,27.779,5.936,24,195,4680,1,4200,1103,02/08/12,53.0
20170420,19.896,4.251,24,195,4680,1,4200,1103,02/08/12,53.0
20170421,10.461,2.235,24,195,4680,1,4200,1103,02/08/12,53.0
20170422,15.704,3.356,24,195,4680,1,4200,1103,02/08/12,53.0
20170423,16.153,3.451,24,195,4680,1,4200,1103,02/08/12,53.0
20170424,7.224,1.544,24,195,4680,1,4200,1103,02/08/12,53.0
20170425,22.154,4.734,24,195,4680,1,4200,1103,02/08/12,53.0
20170426,11.528,2.463,24,195,4680,1,4200,1103,02/08/12,53.0
20170427,18.801,4.017,24,195,4680,1,4200,1103,02/08/12,53.0
20170428,16.530,3.532,24,195,4680,1,4200,1103,02/08/12,53.0
20170429,13.919,2.974,24,195,4680,1,4200,1103,02/08/12,53.0
20170430,22.477,4.803,24,195,4680,1,4200,1103,02/08/12,53.0
20170501,8.911,1.904,24,195,4680,1,4200,1103,02/08/12,53.0
20170502,20.499,4.380,24,195,4680,1,4200,1103,02/08/12,53.0
20170503,9.809,2.096,24,195,4680,1,4200,1103,02/08/12,53.0
20170504,10.780,2.303,24,195,4680,1,4200,1103,02/08/12,53.0
20170505,6.184,1.321,24,195,4680,1,4200,1103,02/08/12,53.0
20170506,27.486,5.873,24,195,4680,1,4200,1103,02/08/12,53.0
20170507,20.860,4.457,24,195,4680,1,4200,1103,02/08/12,53.0
20170508,25.838,5.521,24,195,4680,1,4200,1103,02/08/12,53.0
20170509,11.352,2.426,24,195,4680,1,4200,1103,02/08/12,53.0
20170510,23.329,4.985,24,195,4680,1,4200,1103,02/08/12,53.0
20170511,23.568,5.036,24,195,4680,1,4200,1103,02/08/12,53.0
20170512,13.446,2.873,24,195,4680,1,4200,1103,02/08/12,53.0
20170513,11.413,2.439,24,195,4680,1,4200,1103,02/08/12,53.0
20170514,21.601,4.616,24,195,4680,1,4200,1103,02/08/12,53.0
20170515,19.110,4.083,24,195,4680,1,4200,1103,02/08/12,53.0
20170516,17.095,3.653,24,195,4680,1,4200,1103,02/08/12,53.0
20170517,23.369,4.993,24,195,4680,1,4200,1103,02/08/12,53.0
20170518,13.480,2.880,24,195,4680,1,4200,1103,02/08/12,53.0
20170519,8.635,1.845,24,195,4680,1,4200,1103,02/08/12,53.0
20170520,16.723,3.573,24,195,4680,1,4200,1103,02/08/12,53.0
20170521,23.668,5.057,24,195,4680,1,4200,1103,02/08/12,53.0
20170522,24.114,5.153,24,195,4680,1,4200,1103,02/08/12,53.0
20170523,26.382,5.637,24,195,4680,1,4200,1103,02/08/12,53.0
20170524,25.176,5.379,24,195,4680,1,4200,1103,02/08/12,53.0
20170525,28.827,6.160,24,195,4680,1,4200,1103,02/08/12,53.0
20170526,28.626,6.117,24,195,4680,1,4200,1103,02/08/12,53.0
20170527,25.813,5.516,24,195,4680,1,4200,1103,02/08/12,53.0
20170528,25.283,5.402,24,195,4680,1,4200,1103,02/08/12,53.0
20170529,24.335,5.200,24,195,4680,1,4200,1103,02/08/12,53.0
20170530,9.247,1.976,24,195,4680,1,4200,1103,02/08/12,53.0
20170531,20.453,4.370,24,195,4680,1,4200,1103,02/08/12,53.0
20170601,28.729,6.139,24,195,4680,1,4200,1103,02/08/12,53.0
20170602,24.223,5.176,24,195,4680,1,4200,1103,02/08/12,53.0
20170603,23.838,5.094,24,195,4680,1,4200,1103,02/08/12,53.0
20170604,26.032,5.562,24,195,4680,1,4200,1103,02/08/12,53.0
20170605,17.204,3.676,24,195,4680,1,4200,1103,02/08/12,53.0
20170606,9.931,2.122,24,195,4680,1,4200,1103,02/08/12,53.0
20170607,13.329,2.848,24,195,4680,1,4200,1103,02/08/12,53.0
20170608,20.291,4.336,24,195,4680,1,4200,1103,02/08/12,53.0
20170609,21.252,4.541,24,195,4680,1,4200,1103,02/08/12,53.0
20170610,26.273,5.614,24,195,4680,1,4200,1103,02/08/12,53.0
20170611,19.296,4.123,24,195,4680,1,4200,1103,02/08/12,53.0
20170612,14.040,3.000,24,195,4680,1,4200,1103,02/08/12,53.0
20170613,28.712,6.135,24,195,4680,1,4200,1103,02/08/12,53.0
20170614,28.378,6.064,24,195,4680,1,4200,1103,02/08/12,53.0
20170615,28.340,6.056,24,195,4680,1,4200,1103,02/08/12,53.0
20170616,13.735,2.935,24,195,4680,1,4200,1103,02/08/12,53.0
20170617,25.555,5.460,24,195,4680,1,4200,1103,02/08/12,53.0
20170618,28.392,6.067,24,195,4680,1,4200,1103,02/08/12,53.0
20170619,25.997,5.555,24,195,4680,1,4200,1103,02/08/12,53.0
20170620,23.072,4.930,24,195,4680,1,4200,1103,02/08/12,53.0
20170621,27.023,5.774,24,195,4680,1,4200,1103,02/08/12,53.0
20170622,14.843,3.172,24,195,4680,1,4200,1103,02/08/12,53.0
20170623,21.475,4.589,24,195,4680,1,4200,1103,02/08/12,53.0
20170624,7.565,1.616,24,195,4680,1,4200,1103,02/08/12,53.0
20170625,7.291,1.558,24,195,4680,1,4200,1103,02/08/12,53.0
20170626,18.638,3.982,24,195,4680,1,4200,1103,02/08/12,53.0
20170627,16.738,3.576,24,195,4680,1,4200,1103,02/08/12,53.0
20170628,6.607,1.412,24,195,4680,1,4200,1103,02/08/12,53.0
20170629,10.716,2.290,24,195,4680,1,4200,1103,02/08/12,53.0
20170630,10.295,2.200,24,195,4680,1,4200,1103,02/08/12,53.0
20170701,12.970,2.771,24,195,4680,1,4200,1103,02/08/12,53.0
20170702,18.608,3.976,24,195,4680,1,4200,1103,02/08/12,53.0
20170703,16.537,3.534,24,195,4680,1,4200,1103,02/08/12,53.0
20170704,22.441,4.795,24,195,4680,1,4200,1103,02/08/12,53.0
20170705,23.399,5.000,24,195,4680,1,4200,1103,02/08/12,53.0
20170706,17.253,3.687,24,195,4680,1,4200,1103,02/08/12,53.0
20170707,24.900,5.321,24,195,4680,1,4200,1103,02/08/12,53.0
20170708,11.642,2.488,24,195,4680,1,4200,1103,02/08/12,53.0
20170709,27.258,5.824,24,195,4680,1,4200,1103,02/08/12,53.0
20170710,17.318,3.700,24,195,4680,1,4200,1103,02/08/12,53.0
20170711,13.735,2.935,24,195,4680,1,4200,1103,02/08/12,53.0
20170712,17.220,3.679,24,195,4680,1,4200,1103,02/08/12,53.0
20170713,12.657,2.704,24,195,4680,1,4200,1103,02/08/12,53.0
20170714,17.505,3.740,24,195,4680,1,4200,1103,02/08/12,53.0
20170715,16.653,3.558,24,195,4680,1,4200,1103,02/08/12,53.0
20170716,6.581,1.406,24,195,4680,1,4200,1103,02/08/12,53.0
20170717,26.064,5.569,24,195,4680,1,4200,1103,02/08/12,53.0
20170718,25.677,5.487,24,195,4680,1,4200,1103,02/08/12,53.0
20170719,20.693,4.422,24,195,4680,1,4200,1103,02/08/12,53.0
20170720,10.437,2.230,24,195,4680,1,4200,1103,02/08/12,53.0
20170721,26.204,5.599,24,195,4680,1,4200,1103,02/08/12,53.0
20170722,11.321,2.419,24,195,4680,1,4200,1103,02/08/12,53.0
20170723,15.210,3.250,24,195,4680,1,4200,1103,02/08/12,53.0
20170724,12.678,2.709,24,195,4680,1,4200,1103,02/08/12,53.0
20170725,11.480,2.453,24,195,4680,1,4200,1103,02/08/12,53.0
20170726,21.285,4.548,24,195,4680,1,4200,1103,02/08/12,53.0
20170727,18.901,4.039,24,195,4680,1,4200,1103,02/08/12,53.0
20170728,15.052,3.216,24,195,4680,1,4200,1103,02/08/12,53.0
20170729,14.015,2.995,24,195,4680,1,4200,1103,02/08/12,53.0
20170730,19.974,4.268,24,195,4680,1,4200,1103,02/08/12,53.0
20170731,15.314,3.272,24,195,4680,1,4200,1103,02/08/12,53.0
20170801,21.401,4.573,24,195,4680,1,4200,1103,02/08/12,53.0
20170802,13.043,2.787,24,195,4680,1,4200,1103,02/08/12,53.0
20170803,18.540,3.962,24,195,4680,1,4200,1103,02/08/12,53.0
20170804,20.370,4.353,24,195,4680,1,4200,1103,02/08/12,53.0
20170805,19.966,4.266,24,195,4680,1,4200,1103,02/08/12,53.0
20170806,23.125,4.941,24,195,4680,1,4200,1103,02/08/12,53.0
20170807,22.002,4.701,24,195,4680,1,4200,1103,02/08/12,53.0
20170808,5.471,1.169,24,195,4680,1,4200,1103,02/08/12,53.0
20170809,19.916,4.256,24,195,4680,1,4200,1103,02/08/12,53.0
20170810,15.668,3.348,24,195,4680,1,4200,1103,02/08/12,53.0
20170811,15.515,3.315,24,195,4680,1,4200,1103,02/08/12,53.0
20170812,11.367,2.429,24,195,4680,1,4200,1103,02/08/12,53.0
20170813,18.761,4.009,24,195,4680,1,4200,1103,02/08/12,53.0
20170814,22.824,4.877,24,195,4680,1,4200,1103,02/08/12,53.0
20170815,7.746,1.655,24,195,4680,1,4200,1103,02/08/12,53.0
20170816,18.555,3.965,24,195,4680,1,4200,1103,02/08/12,53.0
20170817,4.751,1.015,24,195,4680,1,4200,1103,02/08/12,53.0
20170818,14.874,3.178,24,195,4680,1,4200,1103,02/08/12,53.0
20170819,17.474,3.734,24,195,4680,1,4200,1103,02/08/12,53.0
20170820,19.998,4.273,24,195,4680,1,4200,1103,02/08/12,53.0
20170821,15.402,3.291,24,195,4680,1,4200,1103,02/08/12,53.0
