Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
1517353200.0,0.080,0.186,2,215,430,2,250,7559,1081634400.0,15.0
1517266800.0,0.550,1.279,2,215,430,2,250,7559,1081634400.0,15.0
1517180400.0,0.120,0.279,2,215,430,2,250,7559,1081634400.0,15.0
1517094000.0,0.270,0.628,2,215,430,2,250,7559,1081634400.0,15.0
1517007600.0,0.140,0.326,2,215,430,2,250,7559,1081634400.0,15.0
1516921200.0,0.090,0.209,2,215,430,2,250,7559,1081634400.0,15.0
1516834800.0,0.170,0.395,2,215,430,2,250,7559,1081634400.0,15.0
1516748400.0,0.090,0.209,2,215,430,2,250,7559,1081634400.0,15.0
1516662000.0,0.170,0.395,2,215,430,2,250,7559,1081634400.0,15.0
1516575600.0,0.100,0.233,2,215,430,2,250,7559,1081634400.0,15.0
1516489200.0,0.430,1.000,2,215,430,2,250,7559,1081634400.0,15.0
1516402800.0,0.110,0.256,2,215,430,2,250,7559,1081634400.0,15.0
1516316400.0,0.290,0.674,2,215,430,2,250,7559,1081634400.0,15.0
1516230000.0,0.130,0.302,2,215,430,2,250,7559,1081634400.0,15.0
1516143600.0,0.120,0.279,2,215,430,2,250,7559,1081634400.0,15.0
1516057200.0,0.300,0.698,2,215,430,2,250,7559,1081634400.0,15.0
1515970800.0,0.000,0.000,2,215,430,2,250,7559,1081634400.0,15.0
1515884400.0,0.180,0.419,2,215,430,2,250,7559,1081634400.0,15.0
1515798000.0,0.080,0.186,2,215,430,2,250,7559,1081634400.0,15.0
1515711600.0,0.060,0.140,2,215,430,2,250,7559,1081634400.0,15.0
1515625200.0,0.300,0.698,2,215,430,2,250,7559,1081634400.0,15.0
1515538800.0,0.120,0.279,2,215,430,2,250,7559,1081634400.0,15.0
1515452400.0,0.200,0.465,2,215,430,2,250,7559,1081634400.0,15.0
1515366000.0,0.350,0.814,2,215,430,2,250,7559,1081634400.0,15.0
1515279600.0,0.320,0.744,2,215,430,2,250,7559,1081634400.0,15.0
1515193200.0,0.170,0.395,2,215,430,2,250,7559,1081634400.0,15.0
1515106800.0,0.100,0.233,2,215,430,2,250,7559,1081634400.0,15.0
1515020400.0,0.100,0.233,2,215,430,2,250,7559,1081634400.0,15.0
1514934000.0,0.050,0.116,2,215,430,2,250,7559,1081634400.0,15.0
1514847600.0,0.140,0.326,2,215,430,2,250,7559,1081634400.0,15.0
1514761200.0,0.140,0.326,2,215,430,2,250,7559,1081634400.0,15.0
1519772400.0,0.320,0.744,2,215,430,2,250,7559,1081634400.0,15.0
1519686000.0,0.900,2.093,2,215,430,2,250,7559,1081634400.0,15.0
1519599600.0,0.830,1.930,2,215,430,2,250,7559,1081634400.0,15.0
1519513200.0,1.480,3.442,2,215,430,2,250,7559,1081634400.0,15.0
1519426800.0,1.280,2.977,2,215,430,2,250,7559,1081634400.0,15.0
1519340400.0,1.360,3.163,2,215,430,2,250,7559,1081634400.0,15.0
1519254000.0,0.990,2.302,2,215,430,2,250,7559,1081634400.0,15.0
1519167600.0,1.220,2.837,2,215,430,2,250,7559,1081634400.0,15.0
1519081200.0,0.850,1.977,2,215,430,2,250,7559,1081634400.0,15.0
1518994800.0,0.450,1.047,2,215,430,2,250,7559,1081634400.0,15.0
1518908400.0,1.020,2.372,2,215,430,2,250,7559,1081634400.0,15.0
1518822000.0,0.700,1.628,2,215,430,2,250,7559,1081634400.0,15.0
1518735600.0,0.950,2.209,2,215,430,2,250,7559,1081634400.0,15.0
1518649200.0,0.090,0.209,2,215,430,2,250,7559,1081634400.0,15.0
1518562800.0,1.190,2.767,2,215,430,2,250,7559,1081634400.0,15.0
1518476400.0,1.090,2.535,2,215,430,2,250,7559,1081634400.0,15.0
1518390000.0,0.670,1.558,2,215,430,2,250,7559,1081634400.0,15.0
1518303600.0,0.590,1.372,2,215,430,2,250,7559,1081634400.0,15.0
1518217200.0,0.180,0.419,2,215,430,2,250,7559,1081634400.0,15.0
1518130800.0,0.740,1.721,2,215,430,2,250,7559,1081634400.0,15.0
1518044400.0,0.860,2.000,2,215,430,2,250,7559,1081634400.0,15.0
1517958000.0,0.940,2.186,2,215,430,2,250,7559,1081634400.0,15.0
1517871600.0,0.650,1.512,2,215,430,2,250,7559,1081634400.0,15.0
1517785200.0,0.300,0.698,2,215,430,2,250,7559,1081634400.0,15.0
1517698800.0,0.320,0.744,2,215,430,2,250,7559,1081634400.0,15.0
1517612400.0,0.220,0.512,2,215,430,2,250,7559,1081634400.0,15.0
1517526000.0,0.280,0.651,2,215,430,2,250,7559,1081634400.0,15.0
1517439600.0,0.140,0.326,2,215,430,2,250,7559,1081634400.0,15.0
1522447200.0,1.160,2.698,2,215,430,2,250,7559,1081634400.0,15.0
1522360800.0,1.270,2.953,2,215,430,2,250,7559,1081634400.0,15.0
1522274400.0,1.060,2.465,2,215,430,2,250,7559,1081634400.0,15.0
1522188000.0,0.360,0.837,2,215,430,2,250,7559,1081634400.0,15.0
1522101600.0,0.940,2.186,2,215,430,2,250,7559,1081634400.0,15.0
1522015200.0,0.890,2.070,2,215,430,2,250,7559,1081634400.0,15.0
1521932400.0,0.820,1.907,2,215,430,2,250,7559,1081634400.0,15.0
1521846000.0,1.280,2.977,2,215,430,2,250,7559,1081634400.0,15.0
1521759600.0,0.320,0.744,2,215,430,2,250,7559,1081634400.0,15.0
1521673200.0,0.400,0.930,2,215,430,2,250,7559,1081634400.0,15.0
1521586800.0,0.780,1.814,2,215,430,2,250,7559,1081634400.0,15.0
1521500400.0,2.060,4.791,2,215,430,2,250,7559,1081634400.0,15.0
1521414000.0,2.110,4.907,2,215,430,2,250,7559,1081634400.0,15.0
1521327600.0,1.680,3.907,2,215,430,2,250,7559,1081634400.0,15.0
1521241200.0,0.760,1.767,2,215,430,2,250,7559,1081634400.0,15.0
1521154800.0,0.250,0.581,2,215,430,2,250,7559,1081634400.0,15.0
1521068400.0,1.410,3.279,2,215,430,2,250,7559,1081634400.0,15.0
1520982000.0,0.970,2.256,2,215,430,2,250,7559,1081634400.0,15.0
1520895600.0,0.180,0.419,2,215,430,2,250,7559,1081634400.0,15.0
1520809200.0,1.040,2.419,2,215,430,2,250,7559,1081634400.0,15.0
1520722800.0,0.320,0.744,2,215,430,2,250,7559,1081634400.0,15.0
1520636400.0,0.740,1.721,2,215,430,2,250,7559,1081634400.0,15.0
1520550000.0,1.010,2.349,2,215,430,2,250,7559,1081634400.0,15.0
1520463600.0,0.570,1.326,2,215,430,2,250,7559,1081634400.0,15.0
1520377200.0,1.110,2.581,2,215,430,2,250,7559,1081634400.0,15.0
1520290800.0,1.130,2.628,2,215,430,2,250,7559,1081634400.0,15.0
1520204400.0,1.310,3.047,2,215,430,2,250,7559,1081634400.0,15.0
1520118000.0,1.040,2.419,2,215,430,2,250,7559,1081634400.0,15.0
1520031600.0,0.790,1.837,2,215,430,2,250,7559,1081634400.0,15.0
1519945200.0,1.450,3.372,2,215,430,2,250,7559,1081634400.0,15.0
1519858800.0,1.290,3.000,2,215,430,2,250,7559,1081634400.0,15.0
1525039200.0,0.590,1.372,2,215,430,2,250,7559,1081634400.0,15.0
1524952800.0,1.070,2.488,2,215,430,2,250,7559,1081634400.0,15.0
1524866400.0,1.140,2.651,2,215,430,2,250,7559,1081634400.0,15.0
1524780000.0,1.460,3.395,2,215,430,2,250,7559,1081634400.0,15.0
1524693600.0,1.680,3.907,2,215,430,2,250,7559,1081634400.0,15.0
1524607200.0,0.950,2.209,2,215,430,2,250,7559,1081634400.0,15.0
1524520800.0,0.470,1.093,2,215,430,2,250,7559,1081634400.0,15.0
1524434400.0,1.560,3.628,2,215,430,2,250,7559,1081634400.0,15.0
1524348000.0,1.920,4.465,2,215,430,2,250,7559,1081634400.0,15.0
1524261600.0,2.200,5.116,2,215,430,2,250,7559,1081634400.0,15.0
1524175200.0,1.870,4.349,2,215,430,2,250,7559,1081634400.0,15.0
1524088800.0,2.160,5.023,2,215,430,2,250,7559,1081634400.0,15.0
1524002400.0,2.160,5.023,2,215,430,2,250,7559,1081634400.0,15.0
1523916000.0,2.090,4.860,2,215,430,2,250,7559,1081634400.0,15.0
1523829600.0,1.810,4.209,2,215,430,2,250,7559,1081634400.0,15.0
1523743200.0,1.280,2.977,2,215,430,2,250,7559,1081634400.0,15.0
1523656800.0,0.700,1.628,2,215,430,2,250,7559,1081634400.0,15.0
1523570400.0,0.940,2.186,2,215,430,2,250,7559,1081634400.0,15.0
1523484000.0,1.250,2.907,2,215,430,2,250,7559,1081634400.0,15.0
1523397600.0,1.740,4.047,2,215,430,2,250,7559,1081634400.0,15.0
1523311200.0,1.770,4.116,2,215,430,2,250,7559,1081634400.0,15.0
1523224800.0,1.130,2.628,2,215,430,2,250,7559,1081634400.0,15.0
1523138400.0,0.310,0.721,2,215,430,2,250,7559,1081634400.0,15.0
1523052000.0,0.130,0.302,2,215,430,2,250,7559,1081634400.0,15.0
1522965600.0,2.250,5.233,2,215,430,2,250,7559,1081634400.0,15.0
1522879200.0,0.820,1.907,2,215,430,2,250,7559,1081634400.0,15.0
1522792800.0,0.720,1.674,2,215,430,2,250,7559,1081634400.0,15.0
1522706400.0,1.440,3.349,2,215,430,2,250,7559,1081634400.0,15.0
1522620000.0,0.810,1.884,2,215,430,2,250,7559,1081634400.0,15.0
1522533600.0,0.910,2.116,2,215,430,2,250,7559,1081634400.0,15.0
1527717600.0,1.120,2.605,2,215,430,2,250,7559,1081634400.0,15.0
1527631200.0,2.110,4.907,2,215,430,2,250,7559,1081634400.0,15.0
1527544800.0,1.770,4.116,2,215,430,2,250,7559,1081634400.0,15.0
1527458400.0,2.310,5.372,2,215,430,2,250,7559,1081634400.0,15.0
1527372000.0,1.560,3.628,2,215,430,2,250,7559,1081634400.0,15.0
1527285600.0,2.450,5.698,2,215,430,2,250,7559,1081634400.0,15.0
1527199200.0,1.490,3.465,2,215,430,2,250,7559,1081634400.0,15.0
1527112800.0,1.240,2.884,2,215,430,2,250,7559,1081634400.0,15.0
1527026400.0,1.960,4.558,2,215,430,2,250,7559,1081634400.0,15.0
1526940000.0,1.980,4.605,2,215,430,2,250,7559,1081634400.0,15.0
1526853600.0,2.640,6.140,2,215,430,2,250,7559,1081634400.0,15.0
1526767200.0,2.500,5.814,2,215,430,2,250,7559,1081634400.0,15.0
1526680800.0,1.940,4.512,2,215,430,2,250,7559,1081634400.0,15.0
1526594400.0,1.890,4.395,2,215,430,2,250,7559,1081634400.0,15.0
1526508000.0,2.540,5.907,2,215,430,2,250,7559,1081634400.0,15.0
1526421600.0,1.750,4.070,2,215,430,2,250,7559,1081634400.0,15.0
1526335200.0,2.350,5.465,2,215,430,2,250,7559,1081634400.0,15.0
1526248800.0,2.530,5.884,2,215,430,2,250,7559,1081634400.0,15.0
