,Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
0,1293836400.0,0.630,1.105,3,190,570,1,600,2134,1204758000.0,45.0
1,1293922800.0,0.630,1.105,3,190,570,1,600,2134,1204758000.0,45.0
2,1294009200.0,0.630,1.105,3,190,570,1,600,2134,1204758000.0,45.0
3,1294095600.0,0.630,1.105,3,190,570,1,600,2134,1204758000.0,45.0
4,1294182000.0,0.840,1.474,3,190,570,1,600,2134,1204758000.0,45.0
5,1294268400.0,0.840,1.474,3,190,570,1,600,2134,1204758000.0,45.0
6,1294354800.0,0.840,1.474,3,190,570,1,600,2134,1204758000.0,45.0
7,1294441200.0,0.840,1.474,3,190,570,1,600,2134,1204758000.0,45.0
8,1294527600.0,0.840,1.474,3,190,570,1,600,2134,1204758000.0,45.0
9,1294614000.0,0.840,1.474,3,190,570,1,600,2134,1204758000.0,45.0
10,1294700400.0,0.840,1.474,3,190,570,1,600,2134,1204758000.0,45.0
11,1294786800.0,0.400,0.702,3,190,570,1,600,2134,1204758000.0,45.0
12,1294873200.0,0.400,0.702,3,190,570,1,600,2134,1204758000.0,45.0
13,1294959600.0,0.400,0.702,3,190,570,1,600,2134,1204758000.0,45.0
14,1295046000.0,0.400,0.702,3,190,570,1,600,2134,1204758000.0,45.0
15,1295132400.0,0.400,0.702,3,190,570,1,600,2134,1204758000.0,45.0
16,1295218800.0,0.400,0.702,3,190,570,1,600,2134,1204758000.0,45.0
17,1295305200.0,0.400,0.702,3,190,570,1,600,2134,1204758000.0,45.0
18,1295391600.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
19,1295478000.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
20,1295564400.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
21,1295650800.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
22,1295737200.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
23,1295823600.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
24,1295910000.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
25,1295996400.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
26,1296082800.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
27,1296169200.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
28,1296255600.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
29,1296342000.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
30,1296428400.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
31,1296514800.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
32,1296601200.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
33,1296687600.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
34,1296774000.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
35,1296860400.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
36,1296946800.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
37,1297033200.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
38,1297119600.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
39,1297206000.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
40,1297292400.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
41,1297378800.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
42,1297465200.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
43,1297551600.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
44,1297638000.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
45,1297724400.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
46,1297810800.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
47,1297897200.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
48,1297983600.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
49,1298070000.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
50,1298156400.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
51,1298242800.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
52,1298329200.0,0.000,0.000,3,190,570,1,600,2134,1204758000.0,45.0
53,1298415600.0,2.910,5.105,3,190,570,1,600,2134,1204758000.0,45.0
54,1298502000.0,2.910,5.105,3,190,570,1,600,2134,1204758000.0,45.0
55,1298588400.0,2.910,5.105,3,190,570,1,600,2134,1204758000.0,45.0
56,1298674800.0,2.910,5.105,3,190,570,1,600,2134,1204758000.0,45.0
57,1298761200.0,2.910,5.105,3,190,570,1,600,2134,1204758000.0,45.0
58,1298847600.0,2.910,5.105,3,190,570,1,600,2134,1204758000.0,45.0
59,1298934000.0,2.910,5.105,3,190,570,1,600,2134,1204758000.0,45.0
60,1299020400.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
61,1299106800.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
62,1299193200.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
63,1299279600.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
64,1299366000.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
65,1299452400.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
66,1299538800.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
67,1299625200.0,1.620,2.842,3,190,570,1,600,2134,1204758000.0,45.0
68,1299711600.0,1.620,2.842,3,190,570,1,600,2134,1204758000.0,45.0
69,1299798000.0,1.620,2.842,3,190,570,1,600,2134,1204758000.0,45.0
70,1299884400.0,1.620,2.842,3,190,570,1,600,2134,1204758000.0,45.0
71,1299970800.0,1.620,2.842,3,190,570,1,600,2134,1204758000.0,45.0
72,1300057200.0,1.620,2.842,3,190,570,1,600,2134,1204758000.0,45.0
73,1300143600.0,1.620,2.842,3,190,570,1,600,2134,1204758000.0,45.0
74,1300230000.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
75,1300316400.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
76,1300402800.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
77,1300489200.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
78,1300575600.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
79,1300662000.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
80,1300748400.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
81,1300834800.0,2.690,4.719,3,190,570,1,600,2134,1204758000.0,45.0
82,1300921200.0,2.690,4.719,3,190,570,1,600,2134,1204758000.0,45.0
83,1301007600.0,2.690,4.719,3,190,570,1,600,2134,1204758000.0,45.0
84,1301094000.0,2.690,4.719,3,190,570,1,600,2134,1204758000.0,45.0
85,1301180400.0,2.690,4.719,3,190,570,1,600,2134,1204758000.0,45.0
86,1301263200.0,2.690,4.719,3,190,570,1,600,2134,1204758000.0,45.0
87,1301349600.0,2.690,4.719,3,190,570,1,600,2134,1204758000.0,45.0
88,1301436000.0,1.610,2.825,3,190,570,1,600,2134,1204758000.0,45.0
89,1301522400.0,1.610,2.825,3,190,570,1,600,2134,1204758000.0,45.0
90,1301608800.0,1.610,2.825,3,190,570,1,600,2134,1204758000.0,45.0
91,1301695200.0,1.610,2.825,3,190,570,1,600,2134,1204758000.0,45.0
92,1301781600.0,1.610,2.825,3,190,570,1,600,2134,1204758000.0,45.0
93,1301868000.0,1.610,2.825,3,190,570,1,600,2134,1204758000.0,45.0
94,1301954400.0,1.610,2.825,3,190,570,1,600,2134,1204758000.0,45.0
95,1302040800.0,2.530,4.439,3,190,570,1,600,2134,1204758000.0,45.0
96,1302127200.0,2.530,4.439,3,190,570,1,600,2134,1204758000.0,45.0
97,1302213600.0,2.530,4.439,3,190,570,1,600,2134,1204758000.0,45.0
98,1302300000.0,2.530,4.439,3,190,570,1,600,2134,1204758000.0,45.0
99,1302386400.0,2.530,4.439,3,190,570,1,600,2134,1204758000.0,45.0
100,1302472800.0,2.530,4.439,3,190,570,1,600,2134,1204758000.0,45.0
101,1302559200.0,2.530,4.439,3,190,570,1,600,2134,1204758000.0,45.0
102,1302645600.0,2.420,4.246,3,190,570,1,600,2134,1204758000.0,45.0
103,1302732000.0,2.420,4.246,3,190,570,1,600,2134,1204758000.0,45.0
104,1302818400.0,2.420,4.246,3,190,570,1,600,2134,1204758000.0,45.0
105,1302904800.0,2.420,4.246,3,190,570,1,600,2134,1204758000.0,45.0
106,1302991200.0,2.420,4.246,3,190,570,1,600,2134,1204758000.0,45.0
107,1303077600.0,2.420,4.246,3,190,570,1,600,2134,1204758000.0,45.0
108,1303164000.0,2.420,4.246,3,190,570,1,600,2134,1204758000.0,45.0
109,1303250400.0,3.330,5.842,3,190,570,1,600,2134,1204758000.0,45.0
110,1303336800.0,3.330,5.842,3,190,570,1,600,2134,1204758000.0,45.0
111,1303423200.0,3.330,5.842,3,190,570,1,600,2134,1204758000.0,45.0
112,1303509600.0,3.330,5.842,3,190,570,1,600,2134,1204758000.0,45.0
113,1303596000.0,3.330,5.842,3,190,570,1,600,2134,1204758000.0,45.0
114,1303682400.0,3.330,5.842,3,190,570,1,600,2134,1204758000.0,45.0
115,1303768800.0,3.330,5.842,3,190,570,1,600,2134,1204758000.0,45.0
116,1303855200.0,2.430,4.263,3,190,570,1,600,2134,1204758000.0,45.0
117,1303941600.0,2.430,4.263,3,190,570,1,600,2134,1204758000.0,45.0
118,1304028000.0,2.430,4.263,3,190,570,1,600,2134,1204758000.0,45.0
119,1304114400.0,2.430,4.263,3,190,570,1,600,2134,1204758000.0,45.0
120,1304200800.0,2.430,4.263,3,190,570,1,600,2134,1204758000.0,45.0
121,1304287200.0,2.430,4.263,3,190,570,1,600,2134,1204758000.0,45.0
122,1304373600.0,2.430,4.263,3,190,570,1,600,2134,1204758000.0,45.0
123,1304460000.0,2.760,4.842,3,190,570,1,600,2134,1204758000.0,45.0
124,1304546400.0,2.760,4.842,3,190,570,1,600,2134,1204758000.0,45.0
125,1304632800.0,2.760,4.842,3,190,570,1,600,2134,1204758000.0,45.0
126,1304719200.0,2.760,4.842,3,190,570,1,600,2134,1204758000.0,45.0
127,1304805600.0,2.760,4.842,3,190,570,1,600,2134,1204758000.0,45.0
128,1304892000.0,2.760,4.842,3,190,570,1,600,2134,1204758000.0,45.0
129,1304978400.0,2.760,4.842,3,190,570,1,600,2134,1204758000.0,45.0
130,1305064800.0,2.390,4.193,3,190,570,1,600,2134,1204758000.0,45.0
131,1305151200.0,2.390,4.193,3,190,570,1,600,2134,1204758000.0,45.0
132,1305237600.0,2.390,4.193,3,190,570,1,600,2134,1204758000.0,45.0
133,1305324000.0,2.390,4.193,3,190,570,1,600,2134,1204758000.0,45.0
134,1305410400.0,2.390,4.193,3,190,570,1,600,2134,1204758000.0,45.0
135,1305496800.0,2.390,4.193,3,190,570,1,600,2134,1204758000.0,45.0
136,1305583200.0,2.390,4.193,3,190,570,1,600,2134,1204758000.0,45.0
137,1305669600.0,2.130,3.737,3,190,570,1,600,2134,1204758000.0,45.0
138,1305756000.0,2.130,3.737,3,190,570,1,600,2134,1204758000.0,45.0
139,1305842400.0,2.130,3.737,3,190,570,1,600,2134,1204758000.0,45.0
140,1305928800.0,2.130,3.737,3,190,570,1,600,2134,1204758000.0,45.0
141,1306015200.0,2.130,3.737,3,190,570,1,600,2134,1204758000.0,45.0
142,1306101600.0,2.130,3.737,3,190,570,1,600,2134,1204758000.0,45.0
143,1306188000.0,2.130,3.737,3,190,570,1,600,2134,1204758000.0,45.0
144,1306274400.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
145,1306360800.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
146,1306447200.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
147,1306533600.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
148,1306620000.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
149,1306706400.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
150,1306792800.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
151,1306879200.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
152,1306965600.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
153,1307052000.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
154,1307138400.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
155,1307224800.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
156,1307311200.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
157,1307397600.0,2.240,3.930,3,190,570,1,600,2134,1204758000.0,45.0
158,1307484000.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
159,1307570400.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
160,1307656800.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
161,1307743200.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
162,1307829600.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
163,1307916000.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
164,1308002400.0,2.060,3.614,3,190,570,1,600,2134,1204758000.0,45.0
165,1308088800.0,1.940,3.404,3,190,570,1,600,2134,1204758000.0,45.0
166,1308175200.0,1.940,3.404,3,190,570,1,600,2134,1204758000.0,45.0
167,1308261600.0,1.940,3.404,3,190,570,1,600,2134,1204758000.0,45.0
168,1308348000.0,1.940,3.404,3,190,570,1,600,2134,1204758000.0,45.0
169,1308434400.0,1.940,3.404,3,190,570,1,600,2134,1204758000.0,45.0
170,1308520800.0,1.940,3.404,3,190,570,1,600,2134,1204758000.0,45.0
171,1308607200.0,1.940,3.404,3,190,570,1,600,2134,1204758000.0,45.0
172,1308693600.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
173,1308780000.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
174,1308866400.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
175,1308952800.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
176,1309039200.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
177,1309125600.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
178,1309212000.0,1.880,3.298,3,190,570,1,600,2134,1204758000.0,45.0
179,1309298400.0,2.720,4.772,3,190,570,1,600,2134,1204758000.0,45.0
180,1309384800.0,2.720,4.772,3,190,570,1,600,2134,1204758000.0,45.0
181,1309471200.0,2.720,4.772,3,190,570,1,600,2134,1204758000.0,45.0
182,1309557600.0,2.720,4.772,3,190,570,1,600,2134,1204758000.0,45.0
183,1309644000.0,2.720,4.772,3,190,570,1,600,2134,1204758000.0,45.0
184,1309730400.0,2.720,4.772,3,190,570,1,600,2134,1204758000.0,45.0
185,1309816800.0,2.720,4.772,3,190,570,1,600,2134,1204758000.0,45.0
186,1309903200.0,2.140,3.754,3,190,570,1,600,2134,1204758000.0,45.0
187,1309989600.0,2.140,3.754,3,190,570,1,600,2134,1204758000.0,45.0
188,1310076000.0,2.140,3.754,3,190,570,1,600,2134,1204758000.0,45.0
189,1310162400.0,2.140,3.754,3,190,570,1,600,2134,1204758000.0,45.0
190,1310248800.0,2.140,3.754,3,190,570,1,600,2134,1204758000.0,45.0
191,1310335200.0,2.140,3.754,3,190,570,1,600,2134,1204758000.0,45.0
192,1310421600.0,2.140,3.754,3,190,570,1,600,2134,1204758000.0,45.0
193,1310508000.0,1.460,2.561,3,190,570,1,600,2134,1204758000.0,45.0
194,1310594400.0,1.460,2.561,3,190,570,1,600,2134,1204758000.0,45.0
195,1310680800.0,1.460,2.561,3,190,570,1,600,2134,1204758000.0,45.0
196,1310767200.0,1.460,2.561,3,190,570,1,600,2134,1204758000.0,45.0
197,1310853600.0,1.460,2.561,3,190,570,1,600,2134,1204758000.0,45.0
198,1310940000.0,1.460,2.561,3,190,570,1,600,2134,1204758000.0,45.0
199,1311026400.0,1.460,2.561,3,190,570,1,600,2134,1204758000.0,45.0
200,1311112800.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
201,1311199200.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
202,1311285600.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
203,1311372000.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
204,1311458400.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
205,1311544800.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
206,1311631200.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
207,1311717600.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
208,1311804000.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
209,1311890400.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
210,1311976800.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
211,1312063200.0,1.970,3.456,3,190,570,1,600,2134,1204758000.0,45.0
