,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude,month
0,1388530800.0,0.65,31795.0,59989.0,46.42,46.64,40.91,48.22,5.84,4.9632883,52.0881698,1.0
1,1388617200.0,0.63,31785.0,60053.0,49.82,43.56,44.33,50.04,6.16,4.9632883,52.0881698,1.0
2,1391209200.0,0.69,30096.0,62900.0,46.77,38.22,41.88,46.77,6.2,4.9632883,52.0881698,2.0
3,1391295600.0,0.49,30001.0,63012.0,45.98,33.66,38.22,45.98,6.22,4.9632883,52.0881698,2.0
4,1391382000.0,0.66,29904.0,63124.0,46.5,37.37,33.66,46.5,6.22,4.9632883,52.0881698,2.0
5,1391468400.0,0.62,29805.0,63236.0,49.17,39.87,37.37,49.17,6.22,4.9632883,52.0881698,2.0
6,1391554800.0,0.64,29704.0,63349.0,50.05,43.93,39.87,50.05,6.22,4.9632883,52.0881698,2.0
7,1393887600.0,0.59,26447.0,66348.0,49.61,35.06,36.68,49.61,5.91,4.9632883,52.0881698,3.0
8,1394665200.0,0.64,25215.0,67301.0,62.21,38.84,36.83,62.21,4.34,4.9632883,52.0881698,3.0
9,1394751600.0,0.57,25076.0,67405.0,51.13,44.66,38.84,51.13,1.62,4.9632883,52.0881698,3.0
10,1394838000.0,0.67,24937.0,67510.0,52.05,48.47,47.12,52.05,5.79,4.9632883,52.0881698,3.0
11,1394924400.0,0.51,24797.0,67614.0,54.4,48.12,48.47,54.4,6.13,4.9632883,52.0881698,3.0
12,1395010800.0,0.84,24658.0,67717.0,53.47,46.89,47.46,53.47,6.19,4.9632883,52.0881698,3.0
13,1395097200.0,0.81,24517.0,67821.0,50.48,48.07,46.89,50.48,5.33,4.9632883,52.0881698,3.0
14,1395183600.0,0.62,24377.0,67925.0,58.44,45.31,48.07,58.44,6.16,4.9632883,52.0881698,3.0
15,1395270000.0,0.66,24237.0,68028.0,70.28,45.82,45.31,70.28,6.05,4.9632883,52.0881698,3.0
16,1395356400.0,0.6,24096.0,68131.0,49.84,41.07,43.14,52.02,5.95,4.9632883,52.0881698,3.0
17,1395442800.0,0.52,23956.0,68234.0,48.44,38.82,41.07,48.44,6.22,4.9632883,52.0881698,3.0
18,1395529200.0,0.45,23815.0,68337.0,48.39,36.6,38.82,48.39,6.22,4.9632883,52.0881698,3.0
19,1395615600.0,0.49,23675.0,68440.0,50.33,34.89,36.6,50.33,6.1,4.9632883,52.0881698,3.0
20,1395702000.0,0.51,23534.0,68542.0,51.82,36.08,34.89,51.82,6.2,4.9632883,52.0881698,3.0
21,1395788400.0,0.47,23394.0,68645.0,47.99,36.61,36.08,47.99,6.07,4.9632883,52.0881698,3.0
22,1395874800.0,0.47,23253.0,68748.0,56.57,42.18,36.61,56.57,6.05,4.9632883,52.0881698,3.0
23,1395961200.0,0.53,23113.0,68850.0,63.28,42.3,42.18,63.28,6.08,4.9632883,52.0881698,3.0
24,1396047600.0,0.64,22973.0,68952.0,66.83,46.93,42.3,66.83,5.0,4.9632883,52.0881698,3.0
25,1396134000.0,0.64,22833.0,69055.0,68.52,51.3,46.93,68.52,6.22,4.9632883,52.0881698,3.0
26,1396216800.0,0.64,26299.0,72752.0,69.99,49.38,51.3,69.99,5.19,4.9632883,52.0881698,3.0
27,1396303200.0,0.64,26159.0,72855.0,67.35,46.04,49.38,67.35,4.65,4.9632883,52.0881698,4.0
28,1396389600.0,0.64,26020.0,72957.0,69.59,48.59,46.04,69.59,3.57,4.9632883,52.0881698,4.0
29,1396476000.0,0.6,25882.0,73060.0,71.64,54.05,48.59,71.64,3.73,4.9632883,52.0881698,4.0
30,1396562400.0,0.71,25743.0,73162.0,56.7,49.7,53.2,58.51,4.68,4.9632883,52.0881698,4.0
31,1396648800.0,0.69,25605.0,73264.0,62.8,49.89,49.7,62.8,4.71,4.9632883,52.0881698,4.0
32,1396735200.0,0.7,25468.0,73367.0,61.91,55.15,49.89,61.91,6.13,4.9632883,52.0881698,4.0
33,1396821600.0,0.43,25331.0,73470.0,69.75,48.99,55.15,69.75,6.08,4.9632883,52.0881698,4.0
34,1396908000.0,0.59,25194.0,73572.0,51.0,43.76,45.48,55.98,6.0,4.9632883,52.0881698,4.0
35,1396994400.0,0.46,25058.0,73675.0,57.46,50.5,43.76,57.46,6.22,4.9632883,52.0881698,4.0
36,1397080800.0,0.75,24923.0,73778.0,59.35,47.52,50.55,59.35,6.09,4.9632883,52.0881698,4.0
37,1397167200.0,0.45,24788.0,73880.0,59.58,39.82,47.52,59.58,5.89,4.9632883,52.0881698,4.0
38,1397253600.0,0.55,24654.0,73983.0,58.62,48.13,39.82,58.62,5.44,4.9632883,52.0881698,4.0
39,1397340000.0,0.57,24521.0,74086.0,54.63,47.94,48.12,54.63,6.19,4.9632883,52.0881698,4.0
40,1397426400.0,0.65,24388.0,74189.0,52.05,40.59,44.46,52.05,6.22,4.9632883,52.0881698,4.0
41,1397512800.0,0.6,24256.0,74292.0,51.64,36.18,40.59,51.64,6.22,4.9632883,52.0881698,4.0
42,1397599200.0,0.58,24125.0,74395.0,60.15,43.74,36.18,60.15,6.07,4.9632883,52.0881698,4.0
43,1397685600.0,0.65,23995.0,74498.0,63.08,44.03,43.74,63.08,6.12,4.9632883,52.0881698,4.0
44,1397772000.0,0.72,23865.0,74601.0,52.99,43.3,44.03,52.99,6.17,4.9632883,52.0881698,4.0
45,1397858400.0,0.51,23736.0,74704.0,61.1,51.08,43.3,61.1,6.22,4.9632883,52.0881698,4.0
46,1397944800.0,0.58,23609.0,74808.0,70.62,49.99,51.08,70.62,5.73,4.9632883,52.0881698,4.0
47,1398031200.0,0.56,23482.0,74911.0,59.92,49.96,49.99,59.92,6.22,4.9632883,52.0881698,4.0
48,1398117600.0,0.52,23356.0,75014.0,65.3,47.79,49.96,65.3,4.91,4.9632883,52.0881698,4.0
49,1398204000.0,0.45,23232.0,75117.0,68.65,51.0,47.79,68.65,5.31,4.9632883,52.0881698,4.0
50,1398290400.0,0.43,23108.0,75220.0,66.85,54.72,51.0,66.85,4.14,4.9632883,52.0881698,4.0
51,1398376800.0,0.4,22985.0,75323.0,74.58,51.52,54.72,74.58,4.96,4.9632883,52.0881698,4.0
52,1398463200.0,0.53,22864.0,75426.0,65.48,52.41,51.52,65.48,5.81,4.9632883,52.0881698,4.0
53,1398549600.0,0.35,22744.0,75528.0,60.8,49.16,52.41,60.8,6.22,4.9632883,52.0881698,4.0
