,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude,month
0,1388530800.0,0.61,31724.0,59954.0,46.5,46.62,40.77,48.43,5.79,5.1841395,52.0296117,1.0
1,1388617200.0,0.63,31715.0,60018.0,49.98,43.18,43.82,50.27,6.11,5.1841395,52.0296117,1.0
2,1388703600.0,0.65,31702.0,60085.0,53.21,43.3,43.18,53.21,6.09,5.1841395,52.0296117,1.0
3,1388790000.0,0.6,31686.0,60155.0,49.04,40.18,43.25,49.04,6.22,5.1841395,52.0296117,1.0
4,1388876400.0,0.48,31666.0,60227.0,45.37,41.35,39.58,46.41,6.17,5.1841395,52.0296117,1.0
5,1388962800.0,0.73,31644.0,60302.0,56.9,49.34,43.13,56.9,5.97,5.1841395,52.0296117,1.0
6,1389049200.0,0.57,31618.0,60379.0,53.34,47.15,49.34,53.34,6.22,5.1841395,52.0296117,1.0
7,1389135600.0,0.68,31588.0,60458.0,50.07,44.87,44.87,50.07,6.16,5.1841395,52.0296117,1.0
8,1389222000.0,0.81,31556.0,60540.0,52.91,40.51,45.12,52.91,6.09,5.1841395,52.0296117,1.0
9,1389308400.0,0.55,31520.0,60624.0,47.46,39.54,39.95,47.46,6.06,5.1841395,52.0296117,1.0
10,1389394800.0,0.69,31482.0,60711.0,45.9,33.38,38.98,45.9,4.79,5.1841395,52.0296117,1.0
11,1389481200.0,0.55,31440.0,60799.0,43.06,36.11,32.97,43.06,3.98,5.1841395,52.0296117,1.0
12,1389567600.0,0.65,31395.0,60889.0,49.15,37.73,36.11,49.15,5.84,5.1841395,52.0296117,1.0
13,1389654000.0,0.62,31347.0,60981.0,44.37,37.06,37.73,44.37,5.4,5.1841395,52.0296117,1.0
14,1389740400.0,0.92,31296.0,61075.0,42.13,42.18,37.06,43.15,4.76,5.1841395,52.0296117,1.0
15,1389826800.0,0.79,31242.0,61171.0,47.93,43.11,43.11,47.93,5.6,5.1841395,52.0296117,1.0
16,1389913200.0,0.8,31186.0,61268.0,48.18,43.35,43.33,48.18,6.13,5.1841395,52.0296117,1.0
17,1389999600.0,0.88,31126.0,61366.0,47.65,41.04,41.99,47.65,6.16,5.1841395,52.0296117,1.0
18,1390086000.0,0.78,31064.0,61466.0,45.0,41.12,41.04,45.0,6.17,5.1841395,52.0296117,1.0
19,1390172400.0,0.93,31000.0,61568.0,41.43,36.59,36.81,43.31,3.69,5.1841395,52.0296117,1.0
20,1390258800.0,0.9,30932.0,61670.0,42.1,36.89,36.59,42.1,2.57,5.1841395,52.0296117,1.0
21,1390345200.0,0.85,30862.0,61774.0,39.99,35.81,36.0,39.99,4.72,5.1841395,52.0296117,1.0
22,1390431600.0,0.86,30790.0,61879.0,41.68,37.73,35.81,41.68,3.34,5.1841395,52.0296117,1.0
23,1390518000.0,0.8,30715.0,61985.0,43.39,36.52,37.73,43.39,4.82,5.1841395,52.0296117,1.0
24,1390604400.0,0.91,30637.0,62091.0,41.12,40.34,36.52,41.31,4.69,5.1841395,52.0296117,1.0
25,1390690800.0,0.69,30557.0,62199.0,43.24,37.58,39.29,43.24,5.59,5.1841395,52.0296117,1.0
26,1390777200.0,0.67,30475.0,62307.0,40.03,36.82,36.96,42.71,6.2,5.1841395,52.0296117,1.0
27,1390863600.0,0.7,30391.0,62416.0,43.82,33.32,36.82,43.82,6.22,5.1841395,52.0296117,1.0
28,1390950000.0,0.51,30304.0,62526.0,35.84,30.09,30.21,38.16,5.09,5.1841395,52.0296117,1.0
29,1391036400.0,0.64,30215.0,62637.0,39.87,29.95,30.09,39.87,4.15,5.1841395,52.0296117,1.0
30,1391122800.0,0.52,30124.0,62747.0,44.52,41.88,29.65,44.52,4.28,5.1841395,52.0296117,1.0
31,1391209200.0,0.72,30032.0,62859.0,46.84,37.8,41.59,46.84,6.06,5.1841395,52.0296117,2.0
32,1391295600.0,0.38,29937.0,62970.0,46.4,33.22,37.8,46.4,6.22,5.1841395,52.0296117,2.0
33,1391382000.0,0.44,29840.0,63082.0,46.46,37.12,33.22,46.46,6.09,5.1841395,52.0296117,2.0
34,1391468400.0,0.61,29741.0,63194.0,49.12,39.71,37.12,49.12,6.06,5.1841395,52.0296117,2.0
35,1391554800.0,0.66,29640.0,63307.0,50.2,44.05,39.71,50.2,6.22,5.1841395,52.0296117,2.0
36,1391641200.0,0.64,29538.0,63419.0,49.3,42.45,42.45,49.3,6.09,5.1841395,52.0296117,2.0
37,1391727600.0,0.71,29434.0,63532.0,49.68,40.29,41.45,49.68,5.76,5.1841395,52.0296117,2.0
38,1391814000.0,0.64,29328.0,63645.0,48.09,42.11,40.29,48.09,6.2,5.1841395,52.0296117,2.0
39,1391900400.0,0.75,29220.0,63758.0,45.72,37.26,41.03,45.72,6.2,5.1841395,52.0296117,2.0
40,1391986800.0,0.59,29111.0,63870.0,46.88,40.77,37.26,46.88,6.22,5.1841395,52.0296117,2.0
41,1392073200.0,0.67,29000.0,63983.0,47.03,37.7,40.04,47.03,5.86,5.1841395,52.0296117,2.0
42,1392159600.0,0.53,28888.0,64096.0,48.23,39.72,37.7,48.23,6.03,5.1841395,52.0296117,2.0
43,1392246000.0,0.57,28774.0,64208.0,44.5,36.53,37.77,44.5,6.17,5.1841395,52.0296117,2.0
44,1392332400.0,0.49,28659.0,64321.0,44.51,42.45,36.53,45.25,6.03,5.1841395,52.0296117,2.0
45,1392418800.0,0.61,28543.0,64433.0,51.6,42.44,45.75,54.1,6.22,5.1841395,52.0296117,2.0
46,1392505200.0,0.49,28425.0,64545.0,48.23,36.78,37.46,48.23,6.22,5.1841395,52.0296117,2.0
47,1392591600.0,0.68,28306.0,64657.0,50.92,39.89,36.78,50.92,6.22,5.1841395,52.0296117,2.0
48,1392678000.0,0.81,28185.0,64768.0,47.26,43.52,39.89,47.26,6.22,5.1841395,52.0296117,2.0
49,1392764400.0,0.7,28064.0,64880.0,49.95,42.39,43.52,49.95,5.55,5.1841395,52.0296117,2.0
