,Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
0,1514761200.0,2.240,0.762,14,210,2940,1,2625,6591,1240956000.0,35.0
1,1514847600.0,0.840,0.286,14,210,2940,1,2625,6591,1240956000.0,35.0
2,1514934000.0,0.460,0.156,14,210,2940,1,2625,6591,1240956000.0,35.0
3,1515020400.0,0.400,0.136,14,210,2940,1,2625,6591,1240956000.0,35.0
4,1515106800.0,1.530,0.520,14,210,2940,1,2625,6591,1240956000.0,35.0
5,1515193200.0,1.000,0.340,14,210,2940,1,2625,6591,1240956000.0,35.0
6,1515279600.0,5.290,1.799,14,210,2940,1,2625,6591,1240956000.0,35.0
7,1515366000.0,4.630,1.575,14,210,2940,1,2625,6591,1240956000.0,35.0
8,1515452400.0,1.350,0.459,14,210,2940,1,2625,6591,1240956000.0,35.0
9,1515538800.0,0.900,0.306,14,210,2940,1,2625,6591,1240956000.0,35.0
10,1515625200.0,0.550,0.187,14,210,2940,1,2625,6591,1240956000.0,35.0
11,1515711600.0,0.470,0.160,14,210,2940,1,2625,6591,1240956000.0,35.0
12,1515798000.0,0.610,0.207,14,210,2940,1,2625,6591,1240956000.0,35.0
13,1515884400.0,5.550,1.888,14,210,2940,1,2625,6591,1240956000.0,35.0
14,1515970800.0,0.490,0.167,14,210,2940,1,2625,6591,1240956000.0,35.0
15,1516057200.0,3.120,1.061,14,210,2940,1,2625,6591,1240956000.0,35.0
16,1516143600.0,1.430,0.486,14,210,2940,1,2625,6591,1240956000.0,35.0
17,1516230000.0,1.080,0.367,14,210,2940,1,2625,6591,1240956000.0,35.0
18,1516316400.0,3.470,1.180,14,210,2940,1,2625,6591,1240956000.0,35.0
19,1516402800.0,0.650,0.221,14,210,2940,1,2625,6591,1240956000.0,35.0
20,1516489200.0,5.950,2.024,14,210,2940,1,2625,6591,1240956000.0,35.0
21,1516575600.0,2.009,0.683,14,210,2940,1,2625,6591,1240956000.0,35.0
22,1516662000.0,2.040,0.694,14,210,2940,1,2625,6591,1240956000.0,35.0
23,1516748400.0,0.880,0.299,14,210,2940,1,2625,6591,1240956000.0,35.0
24,1516834800.0,1.230,0.418,14,210,2940,1,2625,6591,1240956000.0,35.0
25,1516921200.0,2.850,0.969,14,210,2940,1,2625,6591,1240956000.0,35.0
26,1517007600.0,3.590,1.221,14,210,2940,1,2625,6591,1240956000.0,35.0
27,1517094000.0,2.730,0.929,14,210,2940,1,2625,6591,1240956000.0,35.0
28,1517180400.0,0.640,0.218,14,210,2940,1,2625,6591,1240956000.0,35.0
29,1517266800.0,4.059,1.381,14,210,2940,1,2625,6591,1240956000.0,35.0
30,1517353200.0,0.290,0.099,14,210,2940,1,2625,6591,1240956000.0,35.0
31,1517439600.0,2.150,0.731,14,210,2940,1,2625,6591,1240956000.0,35.0
32,1517526000.0,2.580,0.878,14,210,2940,1,2625,6591,1240956000.0,35.0
33,1517612400.0,2.390,0.813,14,210,2940,1,2625,6591,1240956000.0,35.0
34,1517698800.0,3.250,1.105,14,210,2940,1,2625,6591,1240956000.0,35.0
35,1517785200.0,7.770,2.643,14,210,2940,1,2625,6591,1240956000.0,35.0
36,1517871600.0,4.620,1.571,14,210,2940,1,2625,6591,1240956000.0,35.0
37,1517958000.0,10.030,3.412,14,210,2940,1,2625,6591,1240956000.0,35.0
38,1518044400.0,9.780,3.327,14,210,2940,1,2625,6591,1240956000.0,35.0
39,1518130800.0,4.840,1.646,14,210,2940,1,2625,6591,1240956000.0,35.0
40,1518217200.0,2.600,0.884,14,210,2940,1,2625,6591,1240956000.0,35.0
41,1518303600.0,5.580,1.898,14,210,2940,1,2625,6591,1240956000.0,35.0
42,1518390000.0,6.790,2.310,14,210,2940,1,2625,6591,1240956000.0,35.0
43,1518476400.0,11.250,3.827,14,210,2940,1,2625,6591,1240956000.0,35.0
44,1518562800.0,11.290,3.840,14,210,2940,1,2625,6591,1240956000.0,35.0
45,1518649200.0,0.650,0.221,14,210,2940,1,2625,6591,1240956000.0,35.0
46,1518735600.0,10.330,3.514,14,210,2940,1,2625,6591,1240956000.0,35.0
47,1518822000.0,6.420,2.184,14,210,2940,1,2625,6591,1240956000.0,35.0
48,1518908400.0,9.180,3.122,14,210,2940,1,2625,6591,1240956000.0,35.0
49,1518994800.0,3.450,1.173,14,210,2940,1,2625,6591,1240956000.0,35.0
50,1519081200.0,6.350,2.160,14,210,2940,1,2625,6591,1240956000.0,35.0
51,1519167600.0,10.730,3.650,14,210,2940,1,2625,6591,1240956000.0,35.0
52,1519254000.0,12.090,4.112,14,210,2940,1,2625,6591,1240956000.0,35.0
53,1519340400.0,11.490,3.908,14,210,2940,1,2625,6591,1240956000.0,35.0
54,1519426800.0,11.480,3.905,14,210,2940,1,2625,6591,1240956000.0,35.0
55,1519513200.0,13.170,4.480,14,210,2940,1,2625,6591,1240956000.0,35.0
56,1519599600.0,8.080,2.748,14,210,2940,1,2625,6591,1240956000.0,35.0
57,1519686000.0,11.080,3.769,14,210,2940,1,2625,6591,1240956000.0,35.0
58,1519772400.0,11.450,3.895,14,210,2940,1,2625,6591,1240956000.0,35.0
59,1519858800.0,8.660,2.946,14,210,2940,1,2625,6591,1240956000.0,35.0
60,1519945200.0,6.150,2.092,14,210,2940,1,2625,6591,1240956000.0,35.0
61,1520031600.0,3.220,1.095,14,210,2940,1,2625,6591,1240956000.0,35.0
62,1520118000.0,8.490,2.888,14,210,2940,1,2625,6591,1240956000.0,35.0
63,1520204400.0,10.260,3.490,14,210,2940,1,2625,6591,1240956000.0,35.0
64,1520290800.0,7.110,2.418,14,210,2940,1,2625,6591,1240956000.0,35.0
65,1520377200.0,4.230,1.439,14,210,2940,1,2625,6591,1240956000.0,35.0
66,1520463600.0,3.050,1.037,14,210,2940,1,2625,6591,1240956000.0,35.0
67,1520550000.0,7.120,2.422,14,210,2940,1,2625,6591,1240956000.0,35.0
68,1520636400.0,4.730,1.609,14,210,2940,1,2625,6591,1240956000.0,35.0
69,1520722800.0,3.240,1.102,14,210,2940,1,2625,6591,1240956000.0,35.0
70,1520809200.0,7.350,2.500,14,210,2940,1,2625,6591,1240956000.0,35.0
71,1520895600.0,0.980,0.333,14,210,2940,1,2625,6591,1240956000.0,35.0
72,1520982000.0,12.680,4.313,14,210,2940,1,2625,6591,1240956000.0,35.0
