,time,cloudCover,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMin,temperatureMax,visibility,longitude,latitude
30,1422658800.0,0.7,29983.0,62481.0,38.49,32.25,32.1,38.49,3.28,6.0221493,52.2132321
29,1422572400.0,0.86,30075.0,62370.0,36.65,32.48,31.7,36.65,3.29,6.0221493,52.2132321
28,1422486000.0,0.76,30164.0,62259.0,37.8,32.07,33.58,38.28,4.55,6.0221493,52.2132321
27,1422399600.0,0.85,30250.0,62148.0,42.58,34.71,37.38,42.58,4.46,6.0221493,52.2132321
26,1422313200.0,0.7,30335.0,62039.0,43.12,36.98,36.53,43.12,5.89,6.0221493,52.2132321
25,1422226800.0,0.95,30417.0,61930.0,44.42,36.53,37.9,44.42,2.95,6.0221493,52.2132321
24,1422140400.0,0.82,30497.0,61822.0,39.18,37.9,30.95,39.18,2.63,6.0221493,52.2132321
22,1421967600.0,0.93,30650.0,61608.0,30.67,28.66,26.89,30.67,1.95,6.0221493,52.2132321
21,1421881200.0,0.77,30723.0,61503.0,32.74,26.89,27.54,32.74,3.15,6.0221493,52.2132321
20,1421794800.0,0.75,30793.0,61398.0,35.23,27.54,29.27,35.23,4.65,6.0221493,52.2132321
19,1421708400.0,0.81,30860.0,61295.0,37.56,30.99,31.63,37.56,2.8,6.0221493,52.2132321
18,1421622000.0,0.97,30925.0,61194.0,35.03,32.56,33.17,35.03,2.28,6.0221493,52.2132321
17,1421535600.0,0.93,30987.0,61093.0,36.62,33.17,34.53,36.62,3.52,6.0221493,52.2132321
16,1421449200.0,0.46,31047.0,60994.0,41.73,35.51,31.83,41.73,4.93,6.0221493,52.2132321
15,1421362800.0,0.53,31103.0,60897.0,46.63,31.83,38.64,46.63,6.22,6.0221493,52.2132321
14,1421276400.0,0.88,31157.0,60801.0,48.61,39.95,39.32,48.61,5.98,6.0221493,52.2132321
13,1421190000.0,0.83,31208.0,60707.0,40.04,37.14,37.14,43.58,6.22,6.0221493,52.2132321
12,1421103600.0,0.78,31255.0,60615.0,49.64,38.49,43.57,49.64,5.24,6.0221493,52.2132321
11,1421017200.0,0.96,31300.0,60525.0,50.57,47.35,43.41,50.57,5.55,6.0221493,52.2132321
10,1420930800.0,0.75,31342.0,60436.0,43.58,41.75,38.6,43.58,6.06,6.0221493,52.2132321
9,1420844400.0,0.83,31380.0,60350.0,54.14,38.6,41.22,55.3,5.53,6.0221493,52.2132321
8,1420758000.0,0.89,31416.0,60266.0,51.85,45.11,41.92,53.4,5.14,6.0221493,52.2132321
7,1420671600.0,0.8,31448.0,60184.0,46.09,41.27,38.18,46.09,4.66,6.0221493,52.2132321
6,1420585200.0,0.65,31477.0,60105.0,44.27,37.99,35.24,44.27,4.16,6.0221493,52.2132321
5,1420498800.0,0.81,31503.0,60027.0,40.34,35.24,34.41,41.16,5.61,6.0221493,52.2132321
4,1420412400.0,0.83,31525.0,59953.0,39.43,36.49,33.3,40.68,3.09,6.0221493,52.2132321
3,1420326000.0,0.35,31544.0,59881.0,44.55,33.3,34.21,44.55,6.09,6.0221493,52.2132321
2,1420239600.0,0.87,31560.0,59811.0,39.53,34.96,36.92,40.49,4.87,6.0221493,52.2132321
1,1420153200.0,0.76,31572.0,59745.0,47.13,38.23,38.42,47.13,5.57,6.0221493,52.2132321
