Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Number_of_inverters,Inverter_size,Postcode,Install_date,Tilt
1454194800.0,0884,0479,9,205,1845,1,1500,1078,1445900400.0,15.0
1454108400.0,0493,0267,9,205,1845,1,1500,1078,1445900400.0,15.0
1454022000.0,0293,0159,9,205,1845,1,1500,1078,1445900400.0,15.0
1453935600.0,3506,1900,9,205,1845,1,1500,1078,1445900400.0,15.0
1453849200.0,0152,0082,9,205,1845,1,1500,1078,1445900400.0,15.0
1453762800.0,1885,1022,9,205,1845,1,1500,1078,1445900400.0,15.0
1453676400.0,2863,1552,9,205,1845,1,1500,1078,1445900400.0,15.0
1453590000.0,0155,0084,9,205,1845,1,1500,1078,1445900400.0,15.0
1453503600.0,2315,1255,9,205,1845,1,1500,1078,1445900400.0,15.0
1453417200.0,1794,0972,9,205,1845,1,1500,1078,1445900400.0,15.0
1453330800.0,0459,0249,9,205,1845,1,1500,1078,1445900400.0,15.0
1453244400.0,1455,0789,9,205,1845,1,1500,1078,1445900400.0,15.0
1453158000.0,1287,0698,9,205,1845,1,1500,1078,1445900400.0,15.0
1453071600.0,2939,1593,9,205,1845,1,1500,1078,1445900400.0,15.0
1452985200.0,3212,1741,9,205,1845,1,1500,1078,1445900400.0,15.0
1452898800.0,1748,0947,9,205,1845,1,1500,1078,1445900400.0,15.0
1452812400.0,0734,0398,9,205,1845,1,1500,1078,1445900400.0,15.0
1452726000.0,0891,0483,9,205,1845,1,1500,1078,1445900400.0,15.0
1452639600.0,0544,0295,9,205,1845,1,1500,1078,1445900400.0,15.0
1452553200.0,0971,0526,9,205,1845,1,1500,1078,1445900400.0,15.0
1452466800.0,0178,0096,9,205,1845,1,1500,1078,1445900400.0,15.0
1452380400.0,1277,0692,9,205,1845,1,1500,1078,1445900400.0,15.0
1452294000.0,0307,0166,9,205,1845,1,1500,1078,1445900400.0,15.0
1452207600.0,2077,1126,9,205,1845,1,1500,1078,1445900400.0,15.0
1452121200.0,0110,0060,9,205,1845,1,1500,1078,1445900400.0,15.0
1452034800.0,0407,0221,9,205,1845,1,1500,1078,1445900400.0,15.0
1451948400.0,0228,0124,9,205,1845,1,1500,1078,1445900400.0,15.0
1451862000.0,0161,0087,9,205,1845,1,1500,1078,1445900400.0,15.0
1451775600.0,0662,0359,9,205,1845,1,1500,1078,1445900400.0,15.0
1451689200.0,0196,0106,9,205,1845,1,1500,1078,1445900400.0,15.0
1451602800.0,1818,0985,9,205,1845,1,1500,1078,1445900400.0,15.0
1456700400.0,7110,3854,9,205,1845,1,1500,1078,1445900400.0,15.0
1456614000.0,6490,3518,9,205,1845,1,1500,1078,1445900400.0,15.0
1456527600.0,6596,3575,9,205,1845,1,1500,1078,1445900400.0,15.0
1456441200.0,1746,0946,9,205,1845,1,1500,1078,1445900400.0,15.0
1456354800.0,4542,2462,9,205,1845,1,1500,1078,1445900400.0,15.0
1456268400.0,4371,2369,9,205,1845,1,1500,1078,1445900400.0,15.0
1456182000.0,3604,1953,9,205,1845,1,1500,1078,1445900400.0,15.0
1456095600.0,1074,0582,9,205,1845,1,1500,1078,1445900400.0,15.0
1456009200.0,0571,0309,9,205,1845,1,1500,1078,1445900400.0,15.0
1455922800.0,1068,0579,9,205,1845,1,1500,1078,1445900400.0,15.0
1455836400.0,4778,2590,9,205,1845,1,1500,1078,1445900400.0,15.0
1455750000.0,1369,0742,9,205,1845,1,1500,1078,1445900400.0,15.0
1455663600.0,5777,3131,9,205,1845,1,1500,1078,1445900400.0,15.0
1455577200.0,5703,3091,9,205,1845,1,1500,1078,1445900400.0,15.0
1455490800.0,4354,2360,9,205,1845,1,1500,1078,1445900400.0,15.0
1455404400.0,0377,0204,9,205,1845,1,1500,1078,1445900400.0,15.0
1455318000.0,2747,1489,9,205,1845,1,1500,1078,1445900400.0,15.0
1455231600.0,1783,0966,9,205,1845,1,1500,1078,1445900400.0,15.0
1455145200.0,4047,2193,9,205,1845,1,1500,1078,1445900400.0,15.0
1455058800.0,1552,0841,9,205,1845,1,1500,1078,1445900400.0,15.0
1454972400.0,0475,0257,9,205,1845,1,1500,1078,1445900400.0,15.0
1454886000.0,1421,0770,9,205,1845,1,1500,1078,1445900400.0,15.0
1454799600.0,2042,1107,9,205,1845,1,1500,1078,1445900400.0,15.0
1454713200.0,0800,0434,9,205,1845,1,1500,1078,1445900400.0,15.0
1454626800.0,0549,0298,9,205,1845,1,1500,1078,1445900400.0,15.0
1454540400.0,0618,0335,9,205,1845,1,1500,1078,1445900400.0,15.0
1454454000.0,2598,1408,9,205,1845,1,1500,1078,1445900400.0,15.0
1454367600.0,1463,0793,9,205,1845,1,1500,1078,1445900400.0,15.0
1454281200.0,1162,0630,9,205,1845,1,1500,1078,1445900400.0,15.0
1459375200.0,5953,3227,9,205,1845,1,1500,1078,1445900400.0,15.0
1459288800.0,6094,3303,9,205,1845,1,1500,1078,1445900400.0,15.0
1459202400.0,5416,2936,9,205,1845,1,1500,1078,1445900400.0,15.0
1459116000.0,5322,2885,9,205,1845,1,1500,1078,1445900400.0,15.0
1459033200.0,3579,1940,9,205,1845,1,1500,1078,1445900400.0,15.0
1458946800.0,8513,4614,9,205,1845,1,1500,1078,1445900400.0,15.0
1458860400.0,2268,1229,9,205,1845,1,1500,1078,1445900400.0,15.0
1458774000.0,2660,1442,9,205,1845,1,1500,1078,1445900400.0,15.0
1458687600.0,2914,1579,9,205,1845,1,1500,1078,1445900400.0,15.0
1458601200.0,3325,1802,9,205,1845,1,1500,1078,1445900400.0,15.0
1458514800.0,1997,1082,9,205,1845,1,1500,1078,1445900400.0,15.0
1458428400.0,2966,1608,9,205,1845,1,1500,1078,1445900400.0,15.0
1458342000.0,2337,1267,9,205,1845,1,1500,1078,1445900400.0,15.0
1458255600.0,1193,0647,9,205,1845,1,1500,1078,1445900400.0,15.0
1458169200.0,8583,4652,9,205,1845,1,1500,1078,1445900400.0,15.0
1458082800.0,8491,4602,9,205,1845,1,1500,1078,1445900400.0,15.0
1457996400.0,1713,0928,9,205,1845,1,1500,1078,1445900400.0,15.0
1457910000.0,8394,4550,9,205,1845,1,1500,1078,1445900400.0,15.0
1457823600.0,8397,4551,9,205,1845,1,1500,1078,1445900400.0,15.0
1457737200.0,7821,4239,9,205,1845,1,1500,1078,1445900400.0,15.0
1457650800.0,2824,1531,9,205,1845,1,1500,1078,1445900400.0,15.0
1457564400.0,6654,3607,9,205,1845,1,1500,1078,1445900400.0,15.0
1457478000.0,5777,3131,9,205,1845,1,1500,1078,1445900400.0,15.0
1457391600.0,4681,2537,9,205,1845,1,1500,1078,1445900400.0,15.0
1457305200.0,5561,3014,9,205,1845,1,1500,1078,1445900400.0,15.0
1457218800.0,2461,1334,9,205,1845,1,1500,1078,1445900400.0,15.0
1457132400.0,5271,2857,9,205,1845,1,1500,1078,1445900400.0,15.0
1457046000.0,0591,0320,9,205,1845,1,1500,1078,1445900400.0,15.0
1456959600.0,5090,2759,9,205,1845,1,1500,1078,1445900400.0,15.0
