Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Panel_brand,Orientation,Number_of_inverters,Inverter_brand,Inverter_size,Postcode,Install_date,Shading,Tilt
31/01/17,1.608kWh,0.872kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/01/17,0.446kWh,0.242kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/01/17,0.633kWh,0.343kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
28/01/17,1.668kWh,0.904kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
27/01/17,2.221kWh,1.204kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
26/01/17,3.116kWh,1.689kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
25/01/17,0.622kWh,0.337kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
24/01/17,1.213kWh,0.657kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
23/01/17,0.782kWh,0.424kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/01/17,2.993kWh,1.622kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/01/17,3.074kWh,1.666kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/01/17,2.630kWh,1.425kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/01/17,3.214kWh,1.742kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/01/17,1.139kWh,0.617kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
